BGC	Accession	Description	Product	BiG_SCAPE	Organism	Taxonomy
Bger_bac_bin141~Bger_metagenome_contig_000106.region001	Bger_metagenome_contig_000106	Bger_metagenome_contig_000106	furan	Others		
Bger_bac_bin141~Bger_metagenome_contig_000551.region001	Bger_metagenome_contig_000551	Bger_metagenome_contig_000551	arylpolyene	Others		
Bger_bac_bin141~Bger_metagenome_contig_000551.region002	Bger_metagenome_contig_000551	Bger_metagenome_contig_000551	lanthipeptide-class-i	RiPPs		
Bger_bac_bin141~Bger_metagenome_contig_000615.region001	Bger_metagenome_contig_000615	Bger_metagenome_contig_000615	resorcinol	Others		
Bger_bac_bin141~Bger_metagenome_contig_000767.region001	Bger_metagenome_contig_000767	Bger_metagenome_contig_000767	arylpolyene	Others		
Bger_bac_bin141~Bger_metagenome_contig_000886.region001	Bger_metagenome_contig_000886	Bger_metagenome_contig_000886	lanthipeptide-class-i	RiPPs		
Bger_bac_bin141~Bger_metagenome_contig_000924.region001	Bger_metagenome_contig_000924	Bger_metagenome_contig_000924	LAP	RiPPs		
Bger_bac_bin142~Bger_metagenome_contig_000104.region001	Bger_metagenome_contig_000104	Bger_metagenome_contig_000104	resorcinol	Others		
Bger_bac_bin142~Bger_metagenome_contig_000104.region002	Bger_metagenome_contig_000104	Bger_metagenome_contig_000104	arylpolyene	Others		
Bger_bac_bin142~Bger_metagenome_contig_000123.region001	Bger_metagenome_contig_000123	Bger_metagenome_contig_000123	arylpolyene	Others		
Bger_bac_bin142~Bger_metagenome_contig_000216.region001	Bger_metagenome_contig_000216	Bger_metagenome_contig_000216	LAP	RiPPs		
Bger_bac_bin142~Bger_metagenome_contig_001586.region001	Bger_metagenome_contig_001586	Bger_metagenome_contig_001586	terpene	Terpene		
Bger_bac_bin143~Bger_metagenome_contig_002204.region001	Bger_metagenome_contig_002204	Bger_metagenome_contig_002204	terpene	Terpene		
Bger_bac_bin144~Bger_metagenome_contig_000016.region001	Bger_metagenome_contig_000016	Bger_metagenome_contig_000016	arylpolyene	Others		
Bger_bac_bin144~Bger_metagenome_contig_000016.region002	Bger_metagenome_contig_000016	Bger_metagenome_contig_000016	arylpolyene	Others		
Bger_bac_bin144~Bger_metagenome_contig_000701.region001	Bger_metagenome_contig_000701	Bger_metagenome_contig_000701	resorcinol.arylpolyene	Others		
Bger_bac_bin145~Bger_metagenome_contig_000035.region001	Bger_metagenome_contig_000035	Bger_metagenome_contig_000035	phosphonate	Others		
Bger_bac_bin145~Bger_metagenome_contig_000347.region001	Bger_metagenome_contig_000347	Bger_metagenome_contig_000347	arylpolyene	Others		
Bger_bac_bin147~Bger_metagenome_contig_000014.region001	Bger_metagenome_contig_000014	Bger_metagenome_contig_000014	NRPS-like	NRPS		
Bger_bac_bin147~Bger_metagenome_contig_000014.region002	Bger_metagenome_contig_000014	Bger_metagenome_contig_000014	terpene	Terpene		
Bger_bac_bin147~Bger_metagenome_contig_000281.region001	Bger_metagenome_contig_000281	Bger_metagenome_contig_000281	hydrogen-cyanide	Others		
Bger_bac_bin153~Bger_metagenome_contig_000308.region001	Bger_metagenome_contig_000308	Bger_metagenome_contig_000308	hglE-KS	PKSother		
Bger_bac_bin153~Bger_metagenome_contig_000785.region001	Bger_metagenome_contig_000785	Bger_metagenome_contig_000785	RiPP-like	RiPPs		
Bger_bac_bin153~Bger_metagenome_contig_001746.region001	Bger_metagenome_contig_001746	Bger_metagenome_contig_001746	arylpolyene	Others		
Bger_bac_bin154~Bger_metagenome_contig_000728.region001	Bger_metagenome_contig_000728	Bger_metagenome_contig_000728	hglE-KS.T1PKS	PKSother		
Bger_bac_bin154~Bger_metagenome_contig_002452.region001	Bger_metagenome_contig_002452	Bger_metagenome_contig_002452	RiPP-like	RiPPs		
Bger_bac_bin154~Bger_metagenome_contig_006125.region001	Bger_metagenome_contig_006125	Bger_metagenome_contig_006125	arylpolyene	Others		
Bger_bac_bin155~Bger_metagenome_contig_000244.region001	Bger_metagenome_contig_000244	Bger_metagenome_contig_000244	hglE-KS.T1PKS	PKSother		
Bger_bac_bin155~Bger_metagenome_contig_000244.region002	Bger_metagenome_contig_000244	Bger_metagenome_contig_000244	RiPP-like	RiPPs		
Bger_bac_bin155~Bger_metagenome_contig_000357.region001	Bger_metagenome_contig_000357	Bger_metagenome_contig_000357	arylpolyene	Others		
Bger_bac_bin155~Bger_metagenome_contig_000786.region001	Bger_metagenome_contig_000786	Bger_metagenome_contig_000786	RiPP-like	RiPPs		
Bger_bac_bin155~Bger_metagenome_contig_000786.region002	Bger_metagenome_contig_000786	Bger_metagenome_contig_000786	phosphonate	Others		
Bger_bac_bin156~Bger_metagenome_contig_000002.region001	Bger_metagenome_contig_000002	Bger_metagenome_contig_000002	RiPP-like	RiPPs		
Bger_bac_bin156~Bger_metagenome_contig_000002.region002	Bger_metagenome_contig_000002	Bger_metagenome_contig_000002	ranthipeptide	RiPPs		
Bger_bac_bin156~Bger_metagenome_contig_000002.region003	Bger_metagenome_contig_000002	Bger_metagenome_contig_000002	RRE-containing	RiPPs		
Bger_bac_bin156~Bger_metagenome_contig_000002.region004	Bger_metagenome_contig_000002	Bger_metagenome_contig_000002	hglE-KS.T1PKS	PKSother		
Bger_bac_bin156~Bger_metagenome_contig_000199.region001	Bger_metagenome_contig_000199	Bger_metagenome_contig_000199	RiPP-like	RiPPs		
Bger_bac_bin157~Bger_metagenome_contig_000039.region001	Bger_metagenome_contig_000039	Bger_metagenome_contig_000039	arylpolyene	Others		
Bger_bac_bin157~Bger_metagenome_contig_000060.region001	Bger_metagenome_contig_000060	Bger_metagenome_contig_000060	hglE-KS	PKSother		
Bger_bac_bin157~Bger_metagenome_contig_000393.region001	Bger_metagenome_contig_000393	Bger_metagenome_contig_000393	RiPP-like	RiPPs		
Bger_bac_bin158~Bger_metagenome_contig_000548.region001	Bger_metagenome_contig_000548	Bger_metagenome_contig_000548	hglE-KS.T1PKS	PKSother		
Bger_bac_bin158~Bger_metagenome_contig_001333.region001	Bger_metagenome_contig_001333	Bger_metagenome_contig_001333	phosphonate	Others		
Bger_bac_bin159~Bger_metagenome_contig_000971.region001	Bger_metagenome_contig_000971	Bger_metagenome_contig_000971	RiPP-like	RiPPs		
Bger_bac_bin159~Bger_metagenome_contig_002613.region001	Bger_metagenome_contig_002613	Bger_metagenome_contig_002613	ectoine	Others		
Bger_bac_bin159~Bger_metagenome_contig_040956.region001	Bger_metagenome_contig_040956	Bger_metagenome_contig_040956	arylpolyene	Others		
Bger_bac_bin160~Bger_metagenome_contig_002358.region001	Bger_metagenome_contig_002358	Bger_metagenome_contig_002358	arylpolyene	Others		
Bger_bac_bin160~Bger_metagenome_contig_010550.region001	Bger_metagenome_contig_010550	Bger_metagenome_contig_010550	arylpolyene	Others		
Bger_bac_bin161~Bger_metagenome_contig_001071.region001	Bger_metagenome_contig_001071	Bger_metagenome_contig_001071	betalactone	Others		
Bger_bac_bin161~Bger_metagenome_contig_001114.region001	Bger_metagenome_contig_001114	Bger_metagenome_contig_001114	ectoine	Others		
Bger_bac_bin161~Bger_metagenome_contig_002322.region001	Bger_metagenome_contig_002322	Bger_metagenome_contig_002322	arylpolyene	Others		
Bger_bac_bin162~Bger_metagenome_contig_000413.region001	Bger_metagenome_contig_000413	Bger_metagenome_contig_000413	ectoine	Others		
Bger_bac_bin162~Bger_metagenome_contig_000413.region002	Bger_metagenome_contig_000413	Bger_metagenome_contig_000413	NRPS-like	NRPS		
Bger_bac_bin162~Bger_metagenome_contig_002489.region001	Bger_metagenome_contig_002489	Bger_metagenome_contig_002489	NRPS-like	NRPS		
Bger_bac_bin162~Bger_metagenome_contig_004662.region001	Bger_metagenome_contig_004662	Bger_metagenome_contig_004662	arylpolyene	Others		
Bger_bac_bin163~Bger_metagenome_contig_000251.region001	Bger_metagenome_contig_000251	Bger_metagenome_contig_000251	T1PKS	PKSI		
Bger_bac_bin164~Bger_metagenome_contig_000706.region001	Bger_metagenome_contig_000706	Bger_metagenome_contig_000706	RiPP-like	RiPPs		
Bger_bac_bin164~Bger_metagenome_contig_000827.region001	Bger_metagenome_contig_000827	Bger_metagenome_contig_000827	NRPS-like.NRPS	NRPS		
Bger_bac_bin164~Bger_metagenome_contig_000833.region001	Bger_metagenome_contig_000833	Bger_metagenome_contig_000833	RRE-containing	RiPPs		
Bger_bac_bin164~Bger_metagenome_contig_001372.region001	Bger_metagenome_contig_001372	Bger_metagenome_contig_001372	arylpolyene	Others		
Bger_bac_bin164~Bger_metagenome_contig_002777.region001	Bger_metagenome_contig_002777	Bger_metagenome_contig_002777	arylpolyene	Others		
Bger_bac_bin164~Bger_metagenome_contig_003230.region001	Bger_metagenome_contig_003230	Bger_metagenome_contig_003230	RiPP-like	RiPPs		
Bger_bac_bin164~Bger_metagenome_contig_003230.region002	Bger_metagenome_contig_003230	Bger_metagenome_contig_003230	NRPS-like	NRPS		
Bger_bac_bin164~Bger_metagenome_contig_003238.region001	Bger_metagenome_contig_003238	Bger_metagenome_contig_003238	betalactone	Others		
Bger_bac_bin164~Bger_metagenome_contig_003789.region001	Bger_metagenome_contig_003789	Bger_metagenome_contig_003789	RRE-containing	RiPPs		
Bger_bac_bin165~Bger_metagenome_contig_000213.region001	Bger_metagenome_contig_000213	Bger_metagenome_contig_000213	thiopeptide	RiPPs		
Bger_bac_bin165~Bger_metagenome_contig_000685.region001	Bger_metagenome_contig_000685	Bger_metagenome_contig_000685	RiPP-like	RiPPs		
Bger_bac_bin166~Bger_metagenome_contig_000029.region001	Bger_metagenome_contig_000029	Bger_metagenome_contig_000029	T1PKS	PKSI		
Bger_bac_bin166~Bger_metagenome_contig_000378.region001	Bger_metagenome_contig_000378	Bger_metagenome_contig_000378	thiopeptide	RiPPs		
Bger_bac_bin166~Bger_metagenome_contig_000895.region001	Bger_metagenome_contig_000895	Bger_metagenome_contig_000895	arylpolyene	Others		
Bger_bac_bin166~Bger_metagenome_contig_015092.region001	Bger_metagenome_contig_015092	Bger_metagenome_contig_015092	LAP.proteusin	RiPPs		
Bger_bac_bin167~Bger_metagenome_contig_000004.region001	Bger_metagenome_contig_000004	Bger_metagenome_contig_000004	NRPS-like	NRPS		
Bger_bac_bin167~Bger_metagenome_contig_000004.region002	Bger_metagenome_contig_000004	Bger_metagenome_contig_000004	thiopeptide	RiPPs		
Bger_bac_bin167~Bger_metagenome_contig_000004.region003	Bger_metagenome_contig_000004	Bger_metagenome_contig_000004	arylpolyene	Others		
Bger_bac_bin167~Bger_metagenome_contig_000004.region004	Bger_metagenome_contig_000004	Bger_metagenome_contig_000004	RiPP-like	RiPPs		
Bger_bac_bin167~Bger_metagenome_contig_000004.region005	Bger_metagenome_contig_000004	Bger_metagenome_contig_000004	T1PKS	PKSI		
Bger_bac_bin168~Bger_metagenome_contig_000112.region001	Bger_metagenome_contig_000112	Bger_metagenome_contig_000112	thiopeptide	RiPPs		
Bger_bac_bin168~Bger_metagenome_contig_000194.region001	Bger_metagenome_contig_000194	Bger_metagenome_contig_000194	T1PKS	PKSI		
Bger_bac_bin168~Bger_metagenome_contig_000194.region002	Bger_metagenome_contig_000194	Bger_metagenome_contig_000194	arylpolyene	Others		
Bger_bac_bin168~Bger_metagenome_contig_000194.region003	Bger_metagenome_contig_000194	Bger_metagenome_contig_000194	RiPP-like	RiPPs		
Bger_bac_bin168~Bger_metagenome_contig_000280.region001	Bger_metagenome_contig_000280	Bger_metagenome_contig_000280	NRPS-like	NRPS		
Bger_bac_bin169~Bger_metagenome_contig_000229.region001	Bger_metagenome_contig_000229	Bger_metagenome_contig_000229	T1PKS	PKSI		
Bger_bac_bin169~Bger_metagenome_contig_000389.region001	Bger_metagenome_contig_000389	Bger_metagenome_contig_000389	RiPP-like	RiPPs		
Bger_bac_bin169~Bger_metagenome_contig_000417.region001	Bger_metagenome_contig_000417	Bger_metagenome_contig_000417	phosphonate	Others		
Bger_bac_bin169~Bger_metagenome_contig_000836.region001	Bger_metagenome_contig_000836	Bger_metagenome_contig_000836	hydrogen-cyanide	Others		
Bger_bac_bin170~Bger_metagenome_contig_000362.region001	Bger_metagenome_contig_000362	Bger_metagenome_contig_000362	arylpolyene	Others		
Bger_bac_bin171~Bger_metagenome_contig_000005.region001	Bger_metagenome_contig_000005	Bger_metagenome_contig_000005	T1PKS	PKSI		
Bger_bac_bin171~Bger_metagenome_contig_000005.region002	Bger_metagenome_contig_000005	Bger_metagenome_contig_000005	hydrogen-cyanide	Others		
Bger_bac_bin171~Bger_metagenome_contig_000005.region003	Bger_metagenome_contig_000005	Bger_metagenome_contig_000005	NRPS	NRPS		
Bger_bac_bin172~Bger_metagenome_contig_000172.region001	Bger_metagenome_contig_000172	Bger_metagenome_contig_000172	NRPS-like	NRPS		
Bger_bac_bin173~Bger_metagenome_contig_001036.region001	Bger_metagenome_contig_001036	Bger_metagenome_contig_001036	RRE-containing	RiPPs		
Bger_bac_bin173~Bger_metagenome_contig_007031.region001	Bger_metagenome_contig_007031	Bger_metagenome_contig_007031	NRPS-like	NRPS		
Bger_bac_bin174~Bger_metagenome_contig_001582.region001	Bger_metagenome_contig_001582	Bger_metagenome_contig_001582	RiPP-like	RiPPs		
Bger_bac_bin174~Bger_metagenome_contig_004013.region001	Bger_metagenome_contig_004013	Bger_metagenome_contig_004013	RiPP-like	RiPPs		
Bger_bac_bin175~Bger_metagenome_contig_000342.region001	Bger_metagenome_contig_000342	Bger_metagenome_contig_000342	NRPS-like	NRPS		
Bger_bac_bin175~Bger_metagenome_contig_011390.region001	Bger_metagenome_contig_011390	Bger_metagenome_contig_011390	RiPP-like	RiPPs		
Bger_bac_bin176~Bger_metagenome_contig_040394.region001	Bger_metagenome_contig_040394	Bger_metagenome_contig_040394	terpene	Terpene		
Bger_bac_bin176~Bger_metagenome_contig_069561.region001	Bger_metagenome_contig_069561	Bger_metagenome_contig_069561	arylpolyene	Others		
Bger_bac_bin176~Bger_metagenome_contig_074288.region001	Bger_metagenome_contig_074288	Bger_metagenome_contig_074288	terpene	Terpene		
Bger_bac_bin177~Bger_metagenome_contig_000429.region001	Bger_metagenome_contig_000429	Bger_metagenome_contig_000429	NRPS-like	NRPS		
Bger_bac_bin178~Bger_metagenome_contig_046023.region001	Bger_metagenome_contig_046023	Bger_metagenome_contig_046023	NRPS-like	NRPS		
Bger_bac_bin180~Bger_metagenome_contig_031354.region001	Bger_metagenome_contig_031354	Bger_metagenome_contig_031354	lanthipeptide-class-i	RiPPs		
Bger_bac_bin183~Bger_metagenome_contig_001412.region001	Bger_metagenome_contig_001412	Bger_metagenome_contig_001412	RiPP-like	RiPPs		
Bger_bac_bin184~Bger_metagenome_contig_001369.region001	Bger_metagenome_contig_001369	Bger_metagenome_contig_001369	RiPP-like	RiPPs		
Bger_bac_bin184~Bger_metagenome_contig_003122.region001	Bger_metagenome_contig_003122	Bger_metagenome_contig_003122	ectoine	Others		
Bger_bac_bin185~Bger_metagenome_contig_000659.region001	Bger_metagenome_contig_000659	Bger_metagenome_contig_000659	phosphonate	Others		
Bger_bac_bin185~Bger_metagenome_contig_000957.region001	Bger_metagenome_contig_000957	Bger_metagenome_contig_000957	RiPP-like	RiPPs		
Bger_bac_bin186~Bger_metagenome_contig_000456.region001	Bger_metagenome_contig_000456	Bger_metagenome_contig_000456	betalactone	Others		
Bger_bac_bin187~Bger_metagenome_contig_003301.region001	Bger_metagenome_contig_003301	Bger_metagenome_contig_003301	RiPP-like	RiPPs		
Bger_bac_bin188~Bger_metagenome_contig_000051.region001	Bger_metagenome_contig_000051	Bger_metagenome_contig_000051	ectoine	Others		
Bger_bac_bin188~Bger_metagenome_contig_000182.region001	Bger_metagenome_contig_000182	Bger_metagenome_contig_000182	RiPP-like	RiPPs		
Bger_bac_bin189~Bger_metagenome_contig_000235.region001	Bger_metagenome_contig_000235	Bger_metagenome_contig_000235	RiPP-like	RiPPs		
Bger_bac_bin190~Bger_metagenome_contig_000253.region001	Bger_metagenome_contig_000253	Bger_metagenome_contig_000253	RiPP-like	RiPPs		
Bger_bac_bin191~Bger_metagenome_contig_000382.region001	Bger_metagenome_contig_000382	Bger_metagenome_contig_000382	RiPP-like	RiPPs		
Bger_bac_bin192~Bger_metagenome_contig_000575.region001	Bger_metagenome_contig_000575	Bger_metagenome_contig_000575	RiPP-like	RiPPs		
Bger_bac_bin193~Bger_metagenome_contig_000314.region001	Bger_metagenome_contig_000314	Bger_metagenome_contig_000314	RiPP-like	RiPPs		
Bger_bac_bin194~Bger_metagenome_contig_000457.region001	Bger_metagenome_contig_000457	Bger_metagenome_contig_000457	RiPP-like	RiPPs		
Bger_bac_bin194~Bger_metagenome_contig_000609.region001	Bger_metagenome_contig_000609	Bger_metagenome_contig_000609	NRPS-like.NRPS	NRPS		
Bger_bac_bin194~Bger_metagenome_contig_000963.region001	Bger_metagenome_contig_000963	Bger_metagenome_contig_000963	NAPAA	NRPS		
Bger_bac_bin194~Bger_metagenome_contig_000963.region002	Bger_metagenome_contig_000963	Bger_metagenome_contig_000963	NRPS	NRPS		
Bger_bac_bin195~Bger_metagenome_contig_000013.region001	Bger_metagenome_contig_000013	Bger_metagenome_contig_000013	RiPP-like	RiPPs		
Bger_bac_bin196~Bger_metagenome_contig_000056.region001	Bger_metagenome_contig_000056	Bger_metagenome_contig_000056	NI-siderophore	Others		
Bger_bac_bin196~Bger_metagenome_contig_000310.region001	Bger_metagenome_contig_000310	Bger_metagenome_contig_000310	terpene	Terpene		
Bger_bac_bin196~Bger_metagenome_contig_000310.region002	Bger_metagenome_contig_000310	Bger_metagenome_contig_000310	ranthipeptide	RiPPs		
Bger_bac_bin197~Bger_metagenome_contig_000193.region001	Bger_metagenome_contig_000193	Bger_metagenome_contig_000193	terpene	Terpene		
Bger_bac_bin198~Bger_metagenome_contig_001293.region001	Bger_metagenome_contig_001293	Bger_metagenome_contig_001293	terpene	Terpene		
Bger_bac_bin199~Bger_metagenome_contig_000036.region001	Bger_metagenome_contig_000036	Bger_metagenome_contig_000036	arylpolyene	Others		
Bger_bac_bin199~Bger_metagenome_contig_000036.region002	Bger_metagenome_contig_000036	Bger_metagenome_contig_000036	terpene	Terpene		
Bger_bac_bin201~Bger_metagenome_contig_000363.region001	Bger_metagenome_contig_000363	Bger_metagenome_contig_000363	terpene	Terpene		
Bger_bac_bin202~Bger_metagenome_contig_000406.region001	Bger_metagenome_contig_000406	Bger_metagenome_contig_000406	terpene	Terpene		
Bger_bac_bin208~Bger_metagenome_contig_003365.region001	Bger_metagenome_contig_003365	Bger_metagenome_contig_003365	NRPS-like	NRPS		
Bger_bac_bin208~Bger_metagenome_contig_003934.region001	Bger_metagenome_contig_003934	Bger_metagenome_contig_003934	terpene	Terpene		
Bger_bac_bin209~Bger_metagenome_contig_000311.region001	Bger_metagenome_contig_000311	Bger_metagenome_contig_000311	ectoine	Others		
Bger_bac_bin209~Bger_metagenome_contig_001028.region001	Bger_metagenome_contig_001028	Bger_metagenome_contig_001028	terpene	Terpene		
Bger_bac_bin210~Bger_metagenome_contig_009275.region001	Bger_metagenome_contig_009275	Bger_metagenome_contig_009275	RiPP-like	RiPPs		
Bger_bac_bin211~Bger_metagenome_contig_000032.region001	Bger_metagenome_contig_000032	Bger_metagenome_contig_000032	NRP-metallophore.NRPS	Others		
Bger_bac_bin211~Bger_metagenome_contig_000032.region002	Bger_metagenome_contig_000032	Bger_metagenome_contig_000032	thiopeptide	RiPPs		
Bger_bac_bin211~Bger_metagenome_contig_000032.region003	Bger_metagenome_contig_000032	Bger_metagenome_contig_000032	redox-cofactor	RiPPs		
Bger_bac_bin211~Bger_metagenome_contig_002040.region001	Bger_metagenome_contig_002040	Bger_metagenome_contig_002040	RiPP-like	RiPPs		
Bger_bac_bin212~Bger_metagenome_contig_000055.region001	Bger_metagenome_contig_000055	Bger_metagenome_contig_000055	NRPS	NRPS		
Bger_bac_bin213~Bger_metagenome_contig_000006.region001	Bger_metagenome_contig_000006	Bger_metagenome_contig_000006	NRP-metallophore.NRPS	Others		
Bger_bac_bin213~Bger_metagenome_contig_000006.region002	Bger_metagenome_contig_000006	Bger_metagenome_contig_000006	redox-cofactor	RiPPs		
Bger_bac_bin215~Bger_metagenome_contig_016056.region001	Bger_metagenome_contig_016056	Bger_metagenome_contig_016056	phosphonate	Others		
Bger_bac_bin216~Bger_metagenome_contig_000178.region001	Bger_metagenome_contig_000178	Bger_metagenome_contig_000178	betalactone	Others		
Bger_bac_bin217~Bger_metagenome_contig_000003.region001	Bger_metagenome_contig_000003	Bger_metagenome_contig_000003	terpene	Terpene		
Bger_bac_bin217~Bger_metagenome_contig_000003.region002	Bger_metagenome_contig_000003	Bger_metagenome_contig_000003	arylpolyene	Others		
Bger_bac_bin217~Bger_metagenome_contig_000003.region003	Bger_metagenome_contig_000003	Bger_metagenome_contig_000003	terpene	Terpene		
Bger_bac_bin218~Bger_metagenome_contig_005633.region001	Bger_metagenome_contig_005633	Bger_metagenome_contig_005633	terpene	Terpene		
Bger_bac_bin218~Bger_metagenome_contig_020082.region001	Bger_metagenome_contig_020082	Bger_metagenome_contig_020082	terpene	Terpene		
Esin_bac_bin002~Esin_metagenome_contig_137581.region001	Esin_metagenome_contig_137581	Esin_metagenome_contig_137581	RiPP-like	RiPPs		
Esin_bac_bin003~Esin_metagenome_contig_003947.region001	Esin_metagenome_contig_003947	Esin_metagenome_contig_003947	HR-T2PKS	Others		
Esin_bac_bin003~Esin_metagenome_contig_003947.region002	Esin_metagenome_contig_003947	Esin_metagenome_contig_003947	redox-cofactor	RiPPs		
Esin_bac_bin003~Esin_metagenome_contig_008489.region001	Esin_metagenome_contig_008489	Esin_metagenome_contig_008489	ectoine	Others		
Esin_bac_bin003~Esin_metagenome_contig_031912.region001	Esin_metagenome_contig_031912	Esin_metagenome_contig_031912	butyrolactone	Others		
Esin_bac_bin003~Esin_metagenome_contig_041010.region001	Esin_metagenome_contig_041010	Esin_metagenome_contig_041010	T1PKS.NRPS	PKS-NRP_Hybrids		
Esin_bac_bin003~Esin_metagenome_contig_070218.region001	Esin_metagenome_contig_070218	Esin_metagenome_contig_070218	NRPS-like.NRPS	NRPS		
Esin_bac_bin003~Esin_metagenome_contig_139901.region001	Esin_metagenome_contig_139901	Esin_metagenome_contig_139901	terpene	Terpene		
Esin_bac_bin004~Esin_metagenome_contig_000005.region001	Esin_metagenome_contig_000005	Esin_metagenome_contig_000005	T3PKS	PKSother		
Esin_bac_bin004~Esin_metagenome_contig_000005.region002	Esin_metagenome_contig_000005	Esin_metagenome_contig_000005	betalactone	Others		
Esin_bac_bin004~Esin_metagenome_contig_000005.region003	Esin_metagenome_contig_000005	Esin_metagenome_contig_000005	ectoine	Others		
Esin_bac_bin004~Esin_metagenome_contig_000005.region004	Esin_metagenome_contig_000005	Esin_metagenome_contig_000005	T3PKS	PKSother		
Esin_bac_bin004~Esin_metagenome_contig_000005.region005	Esin_metagenome_contig_000005	Esin_metagenome_contig_000005	RRE-containing.lassopeptide	RiPPs		
Esin_bac_bin005~Esin_metagenome_contig_007216.region001	Esin_metagenome_contig_007216	Esin_metagenome_contig_007216	RiPP-like	RiPPs		
Esin_bac_bin005~Esin_metagenome_contig_018100.region001	Esin_metagenome_contig_018100	Esin_metagenome_contig_018100	T1PKS	PKSI		
Esin_bac_bin005~Esin_metagenome_contig_028446.region001	Esin_metagenome_contig_028446	Esin_metagenome_contig_028446	NRP-metallophore.NRPS	Others		
Esin_bac_bin005~Esin_metagenome_contig_105774.region001	Esin_metagenome_contig_105774	Esin_metagenome_contig_105774	T3PKS	PKSother		
Esin_bac_bin006~Esin_metagenome_contig_011310.region001	Esin_metagenome_contig_011310	Esin_metagenome_contig_011310	NRPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_018665.region001	Esin_metagenome_contig_018665	Esin_metagenome_contig_018665	T1PKS	PKSI		
Esin_bac_bin006~Esin_metagenome_contig_021258.region001	Esin_metagenome_contig_021258	Esin_metagenome_contig_021258	NRPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_025920.region001	Esin_metagenome_contig_025920	Esin_metagenome_contig_025920	NRPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_027799.region001	Esin_metagenome_contig_027799	Esin_metagenome_contig_027799	redox-cofactor	RiPPs		
Esin_bac_bin006~Esin_metagenome_contig_028759.region001	Esin_metagenome_contig_028759	Esin_metagenome_contig_028759	NRPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_030589.region001	Esin_metagenome_contig_030589	Esin_metagenome_contig_030589	NI-siderophore.NRPS	Others		
Esin_bac_bin006~Esin_metagenome_contig_042525.region001	Esin_metagenome_contig_042525	Esin_metagenome_contig_042525	NRPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_048814.region001	Esin_metagenome_contig_048814	Esin_metagenome_contig_048814	terpene	Terpene		
Esin_bac_bin006~Esin_metagenome_contig_052305.region001	Esin_metagenome_contig_052305	Esin_metagenome_contig_052305	CDPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_077219.region001	Esin_metagenome_contig_077219	Esin_metagenome_contig_077219	NI-siderophore	Others		
Esin_bac_bin006~Esin_metagenome_contig_093529.region001	Esin_metagenome_contig_093529	Esin_metagenome_contig_093529	NAPAA	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_117302.region001	Esin_metagenome_contig_117302	Esin_metagenome_contig_117302	T3PKS	PKSother		
Esin_bac_bin006~Esin_metagenome_contig_122123.region001	Esin_metagenome_contig_122123	Esin_metagenome_contig_122123	NRPS	NRPS		
Esin_bac_bin006~Esin_metagenome_contig_156734.region001	Esin_metagenome_contig_156734	Esin_metagenome_contig_156734	RiPP-like	RiPPs		
Esin_bac_bin007~Esin_metagenome_contig_007140.region001	Esin_metagenome_contig_007140	Esin_metagenome_contig_007140	T1PKS	PKSI		
Esin_bac_bin007~Esin_metagenome_contig_007720.region001	Esin_metagenome_contig_007720	Esin_metagenome_contig_007720	NRPS	NRPS		
Esin_bac_bin007~Esin_metagenome_contig_009780.region001	Esin_metagenome_contig_009780	Esin_metagenome_contig_009780	NRP-metallophore.NRPS	Others		
Esin_bac_bin007~Esin_metagenome_contig_011592.region001	Esin_metagenome_contig_011592	Esin_metagenome_contig_011592	NRPS	NRPS		
Esin_bac_bin007~Esin_metagenome_contig_011700.region001	Esin_metagenome_contig_011700	Esin_metagenome_contig_011700	terpene	Terpene		
Esin_bac_bin007~Esin_metagenome_contig_015014.region001	Esin_metagenome_contig_015014	Esin_metagenome_contig_015014	CDPS	NRPS		
Esin_bac_bin007~Esin_metagenome_contig_020522.region001	Esin_metagenome_contig_020522	Esin_metagenome_contig_020522	T3PKS	PKSother		
Esin_bac_bin007~Esin_metagenome_contig_030373.region001	Esin_metagenome_contig_030373	Esin_metagenome_contig_030373	NRPS-like.NRPS	NRPS		
Esin_bac_bin007~Esin_metagenome_contig_030526.region001	Esin_metagenome_contig_030526	Esin_metagenome_contig_030526	redox-cofactor	RiPPs		
Esin_bac_bin007~Esin_metagenome_contig_062249.region001	Esin_metagenome_contig_062249	Esin_metagenome_contig_062249	NRPS	NRPS		
Esin_bac_bin007~Esin_metagenome_contig_069940.region001	Esin_metagenome_contig_069940	Esin_metagenome_contig_069940	NAPAA	NRPS		
Esin_bac_bin007~Esin_metagenome_contig_092121.region001	Esin_metagenome_contig_092121	Esin_metagenome_contig_092121	terpene	Terpene		
Esin_bac_bin007~Esin_metagenome_contig_116712.region001	Esin_metagenome_contig_116712	Esin_metagenome_contig_116712	RiPP-like	RiPPs		
Esin_bac_bin008~Esin_metagenome_contig_011634.region001	Esin_metagenome_contig_011634	Esin_metagenome_contig_011634	T1PKS	PKSI		
