bin	GH	GT	CE	CBM
Pame_bac_bin067	51	29	7	8
Pame_bac_bin068	38	18	4	5
Pame_bac_bin069	37	34	5	9
Pame_bac_bin070	199	63	15	69
Pame_bac_bin071	138	52	15	31
Pame_bac_bin072	98	78	11	22
Pame_bac_bin073	70	32	8	16
Pame_bac_bin074	97	41	13	20
Pame_bac_bin075	110	47	7	25
Pame_bac_bin076	30	32	5	38
Pame_bac_bin077	90	40	7	20
Pame_bac_bin078	70	28	7	11
Pame_bac_bin079	52	40	8	27
Pame_bac_bin080	49	41	10	15
Pame_bac_bin081	170	63	19	70
Pame_bac_bin082	65	68	10	26
Pame_bac_bin083	157	70	10	48
Pame_bac_bin084	60	18	6	11
Pame_bac_bin085	19	18	10	11
Pame_bac_bin086	65	25	6	22
Pame_bac_bin087	57	31	4	13
Pame_bac_bin088	87	29	11	13
Pame_bac_bin089	26	26	4	17
Pame_bac_bin090	56	20	2	8
Pame_bac_bin091	100	31	9	18
Pame_bac_bin092	8	10	2	2
Pame_bac_bin093	22	26	2	8
Pame_bac_bin094	173	34	19	17
Pame_bac_bin095	26	20	6	8
Pame_bac_bin096	25	17	4	5
Pame_bac_bin097	23	16	4	4
Pame_bac_bin098	65	12	2	7
Pame_bac_bin099	12	15	7	13
Pame_bac_bin100	59	20	5	4
Pame_bac_bin101	13	15	5	6
Pame_bac_bin102	16	15	1	4
Pame_bac_bin103	20	17	1	10
Pame_bac_bin104	42	20	7	5
Pame_bac_bin105	16	18	2	6
Pame_bac_bin106	50	14	7	6
Pame_bac_bin107	68	56	8	14
Pame_bac_bin108	14	20	1	2
Pame_bac_bin109	12	21	4	4
Pame_bac_bin110	15	16	1	5
Pame_bac_bin111	30	23	4	7
Pame_bac_bin112	33	26	7	8
Pame_bac_bin113	38	44	5	7
Pame_bac_bin114	25	23	3	2
Pame_bac_bin115	37	53	6	3
Pame_bac_bin116	38	25	3	17
Pame_bac_bin117	14	12	1	10
Pame_bac_bin118	57	25	8	13
Pame_bac_bin119	15	10	3	6
Pame_bac_bin120	38	17	6	14
Pame_bac_bin121	15	26	6	5
Pame_bac_bin122	15	31	5	1
Pame_bac_bin123	20	29	8	2
Pame_bac_bin124	26	23	13	4
Pame_bac_bin125	13	18	4	5
Pame_bac_bin126	16	29	2	1
Pame_bac_bin127	7	9	1	6
Pame_bac_bin128	8	15	4	1
Pame_bac_bin129	7	11	3	1
Pame_bac_bin130	17	19	4	2
Pame_bac_bin131	15	14	1	4
Pame_bac_bin132	14	16	4	5
Pame_bac_bin133	16	17	2	2
Pame_bac_bin134	43	30	12	13
Pame_bac_bin135	21	26	8	16
Pame_bac_bin136	9	11	6	8
Pame_bac_bin137	7	7	2	4
Pame_bac_bin138	9	9	5	4
Pame_bac_bin139	16	13	2	3
Pame_bac_bin140	26	28	6	11
Pame_bac_bin141	17	31	6	5
Pame_bac_bin142	37	33	7	8
Pame_bac_bin143	11	6	5	3
Pame_bac_bin144	63	10	4	14
Pame_bac_bin145	39	22	1	3
Pame_bac_bin146	19	10	2	5
Pame_bac_bin147	46	21	6	4
Pame_bac_bin148	46	13	2	5
Pame_bac_bin149	49	24	7	17
Pame_bac_bin150	52	36	8	13
Pame_bac_bin151	50	18	8	12
Pame_bac_bin152	45	37	9	8
Pame_bac_bin153	13	13	1	3
Pame_bac_bin154	18	19	3	6
Pame_bac_bin155	4	3	2	0
Pame_bac_bin156	16	23	2	2
Pame_bac_bin157	16	11	3	3
Pame_bac_bin158	5	9	1	0
Pame_bac_bin159	26	16	0	6
Pame_bac_bin160	30	15	1	11
Pame_bac_bin161	14	18	0	3
Pame_bac_bin162	124	70	14	32
Pame_bac_bin163	79	54	10	28
Pame_bac_bin164	115	53	22	38
Pame_bac_bin165	86	36	8	24
Pame_bac_bin166	93	31	9	28
Pame_bac_bin167	108	38	14	32
Pame_bac_bin168	39	59	13	19
Pame_bac_bin169	42	50	4	19
Pame_bac_bin170	45	30	4	24
Pame_bac_bin171	55	40	5	28
Pame_bac_bin172	51	49	7	21
Pame_bac_bin173	83	62	9	17
Pame_bac_bin174	21	45	3	8
Pame_bac_bin175	31	44	5	11
Pame_bac_bin176	35	57	3	11
Pame_bac_bin177	21	31	3	3
Pame_bac_bin178	28	43	3	9
Pame_bac_bin179	16	30	4	2
Pame_bac_bin180	175	57	28	36
Pame_bac_bin181	111	64	13	40
Pame_bac_bin182	194	51	26	45
Pame_bac_bin183	190	54	26	50
Pame_bac_bin184	33	29	7	7
Pame_bac_bin185	156	64	21	25
Pame_bac_bin186	142	50	23	26
Pame_bac_bin187	156	62	24	22
Pame_bac_bin188	423	69	50	72
Pame_bac_bin189	168	50	23	37
Pame_bac_bin190	213	60	22	37
Pame_bac_bin191	139	54	13	26
Pame_bac_bin192	242	79	27	63
Pame_bac_bin193	223	59	24	43
Pame_bac_bin194	208	64	28	44
Pame_bac_bin195	217	55	24	37
Pame_bac_bin196	184	66	25	29
Pame_bac_bin197	333	62	38	52
Pame_bac_bin198	119	51	10	21
Pame_bac_bin199	192	54	12	51
Pame_bac_bin200	110	27	12	27
Pame_bac_bin201	107	26	10	23
Pame_bac_bin202	103	27	8	22
Pame_bac_bin203	64	23	10	14
Pame_bac_bin204	126	48	12	36
Pame_bac_bin205	167	57	21	25
Pame_bac_bin206	135	60	27	23
Pame_bac_bin207	25	25	3	4
Pame_bac_bin208	29	27	1	6
Pame_bac_bin209	175	77	39	32
Pame_bac_bin210	176	71	24	36
Pame_bac_bin211	296	72	32	38
Pame_bac_bin212	63	69	15	19
Pame_bac_bin213	170	77	21	26
Pame_bac_bin214	102	65	15	25
Pame_bac_bin215	29	50	7	8
Pame_bac_bin216	19	40	7	6
Pame_bac_bin217	66	31	3	21
Pame_bac_bin218	92	41	10	23
Pame_bac_bin219	91	67	7	30
Pame_bac_bin220	141	79	11	27
Pame_bac_bin221	47	70	6	10
Pame_bac_bin222	41	49	3	11
Pame_bac_bin223	66	58	4	14
Pame_bac_bin224	37	41	2	5
Pame_bac_bin225	36	27	2	7
Pame_bac_bin226	31	38	2	6
Pame_bac_bin227	33	40	3	8
Pame_bac_bin228	24	42	4	6
Pame_bac_bin229	70	52	6	22
Pame_bac_bin230	28	59	3	6
Pame_bac_bin231	17	21	6	3
Pame_bac_bin232	30	61	5	10
Pame_bac_bin233	32	63	2	6
Pame_bac_bin234	18	35	5	3
Pame_bac_bin235	13	39	2	11
Pame_bac_bin236	34	52	5	9
Pame_bac_bin237	26	53	5	5
Pame_bac_bin238	117	52	17	32
Pame_bac_bin239	77	36	16	16
Pame_bac_bin240	26	67	7	9
Pame_bac_bin241	115	68	18	33
Pame_bac_bin242	101	59	15	25
Pame_bac_bin243	28	50	5	9
Pame_bac_bin244	26	68	8	9
Pame_bac_bin245	155	73	20	38
Pame_bac_bin246	58	43	8	25
Pame_bac_bin247	94	45	20	43
Pame_bac_bin248	19	36	6	10
Pame_bac_bin249	63	47	6	35
Pame_bac_bin250	121	50	12	29
Pame_bac_bin251	95	52	15	11
Pame_bac_bin252	103	37	4	13
Pame_bac_bin253	100	47	22	16
Pame_bac_bin254	59	36	22	34
Pame_bac_bin255	100	41	24	17
Pame_bac_bin256	93	28	17	13
Pame_bac_bin257	60	26	15	13
Pame_bac_bin258	36	38	9	8
Pame_bac_bin259	22	30	4	4
Pame_bac_bin260	73	37	9	11
Pame_bac_bin261	26	34	4	5
Pame_bac_bin262	35	21	3	10
Pame_bac_bin263	20	25	2	4
Pame_bac_bin264	44	35	6	9
Pame_bac_bin265	29	14	3	5
Pame_bac_bin266	66	25	2	12
Pame_bac_bin267	177	57	22	29
Pame_bac_bin268	28	31	5	6
Pame_bac_bin269	38	21	7	9
Pame_bac_bin270	31	14	4	3
Pame_bac_bin271	117	50	13	21
Pame_bac_bin272	135	54	11	29
Pame_bac_bin273	135	33	10	23
Pame_bac_bin274	94	47	11	15
Pame_bac_bin275	135	40	12	19
Pame_bac_bin276	230	61	14	38
Pame_bac_bin277	154	63	21	34
Pame_bac_bin278	90	52	22	19
Pame_bac_bin279	78	33	13	18
Pame_bac_bin280	68	34	8	8
Pame_bac_bin281	72	51	15	17
Pame_bac_bin282	113	47	16	24
Pame_bac_bin283	135	54	17	36
Pame_bac_bin284	125	60	7	32
Pame_bac_bin285	128	53	13	20
Pame_bac_bin286	112	47	9	16
Pame_bac_bin287	137	61	9	25
Pame_bac_bin288	90	50	7	18
Pame_bac_bin289	109	33	9	15
Pame_bac_bin290	211	49	14	47
Pame_bac_bin291	68	39	7	16
Pame_bac_bin292	169	49	32	42
Pame_bac_bin293	349	95	30	60
Pame_bac_bin294	268	76	24	52
Pame_bac_bin295	167	74	16	26
Pame_bac_bin296	125	45	13	23
Pame_bac_bin297	61	33	2	23
Pame_bac_bin298	112	50	26	23
Pame_bac_bin299	135	25	8	22
Pame_bac_bin300	52	25	4	9
Pame_bac_bin301	40	35	6	5
Pame_bac_bin302	47	43	8	6
Pame_bac_bin303	35	39	11	8
Pame_bac_bin304	45	39	5	7
Pame_bac_bin305	31	23	5	5
Pame_bac_bin306	60	45	10	11
Pame_bac_bin307	49	50	14	8
Pame_bac_bin308	35	28	7	7
Pame_bac_bin309	80	52	10	17
Pame_bac_bin310	19	32	2	5
Pame_bac_bin311	25	38	3	8
Pame_bac_bin312	27	40	5	6
Pame_bac_bin313	23	39	3	5
Pame_bac_bin314	22	41	2	8
Pame_bac_bin315	10	24	1	6
Pame_bac_bin316	8	18	2	5
Pame_bac_bin317	33	33	1	12
Pame_bac_bin318	13	32	1	6
Pame_bac_bin319	11	33	2	7
Pame_bac_bin320	40	46	5	10
Pame_bac_bin321	28	39	4	8
Pame_bac_bin322	18	36	2	11
Pame_bac_bin323	22	25	3	5
Pame_bac_bin324	24	37	2	3
Pame_bac_bin325	16	15	1	3
Pame_bac_bin326	2	18	1	0
Pame_bac_bin327	29	39	2	5
Pame_bac_bin328	28	36	3	8
Pame_bac_bin329	24	28	3	4
Pame_bac_bin330	29	25	2	5
Pame_bac_bin331	21	36	5	4
Pame_bac_bin332	23	14	2	2
Pame_bac_bin333	19	26	1	1
Pame_bac_bin334	27	60	5	8
Pame_bac_bin335	24	53	4	4
Pame_bac_bin336	23	42	4	4
Pame_bac_bin337	32	77	6	5
Pame_bac_bin338	31	69	9	6
Pame_bac_bin339	32	63	4	5
Pame_bac_bin340	23	49	7	4
Pame_bac_bin341	33	47	5	7
Pame_bac_bin342	29	48	5	4
Pame_bac_bin343	22	49	4	5
Pame_bac_bin344	17	34	6	2
Pame_bac_bin345	11	49	4	4
Pame_bac_bin346	21	45	7	2
Pame_bac_bin347	22	49	4	5
Pame_bac_bin348	24	65	2	2
Pame_bac_bin349	23	57	2	4
Pame_bac_bin350	32	68	5	8
Pame_bac_bin351	30	52	6	7
Pame_bac_bin352	23	41	5	3
Pame_bac_bin353	23	30	1	4
Pame_bac_bin354	23	32	1	4
Pame_bac_bin355	12	27	2	4
Pame_bac_bin356	31	43	3	5
Pame_bac_bin357	35	47	3	6
Pame_bac_bin358	21	30	2	6
Pame_bac_bin359	35	44	10	7
Pame_bac_bin360	27	34	6	2
Pame_bac_bin361	21	28	4	4
Pame_bac_bin362	36	26	2	10
Pame_bac_bin363	11	18	6	2
Pame_bac_bin364	31	54	8	8
Pame_bac_bin365	6	13	8	5
Pame_bac_bin366	7	10	2	4
Pame_bac_bin367	6	16	1	1
Pame_bac_bin368	15	44	0	3
Pame_bac_bin369	7	47	1	2
Pame_bac_bin370	3	13	0	2
Pame_bac_bin371	10	8	1	0
Pame_bac_bin372	10	17	1	2
Pame_bac_bin373	47	26	11	11
Pame_bac_bin374	64	38	11	17
Pame_bac_bin375	52	30	11	13
Pame_bac_bin376	43	47	5	6
Pame_bac_bin377	59	51	6	9
Pame_bac_bin378	36	51	4	2
Pame_bac_bin379	30	38	4	2
Pame_bac_bin380	32	28	5	5
Pame_bac_bin381	42	36	3	2
Pame_bac_bin382	13	18	2	1
Pame_bac_bin383	6	12	1	1
Pame_bac_bin384	15	25	2	1
Pame_bac_bin385	8	9	1	1
Pame_bac_bin386	10	13	2	3
Pame_bac_bin387	12	17	2	3
Pame_bac_bin388	12	28	5	4
Pame_bac_bin389	28	36	2	7
Pame_bac_bin390	28	30	5	5
Pame_bac_bin391	27	33	3	3
Pame_bac_bin392	34	33	2	5
Pame_bac_bin393	35	41	3	6
Pame_bac_bin394	119	77	14	19
Pame_bac_bin395	21	24	2	9
Pame_bac_bin396	44	43	12	17
Pame_bac_bin397	75	91	9	23
Pame_bac_bin398	104	97	16	18
Pame_bac_bin399	40	61	9	14
Pame_bac_bin400	15	22	0	0
Pame_bac_bin401	29	39	4	8
Pame_bac_bin402	23	17	3	4
Pame_bac_bin403	62	24	12	11
Pame_bac_bin404	16	17	2	7
Pame_bac_bin405	16	13	1	4
Pame_bac_bin406	20	15	4	3
Pame_bac_bin407	20	30	5	10
Pame_bac_bin408	18	21	2	0
Pame_bac_bin409	46	70	7	10
Pame_bac_bin410	21	49	7	7
Pame_bac_bin411	19	42	5	9
Pame_bac_bin412	62	28	7	12
Pame_bac_bin413	82	44	10	16
Pame_bac_bin414	54	31	10	11
Pame_bac_bin415	66	28	7	11
Pame_bac_bin416	114	54	7	34
Pful_bac_bin001	29	38	7	1
Pful_bac_bin002	9	14	1	1
Pful_bac_bin003	16	29	1	1
Pful_bac_bin004	6	31	2	0
Pful_bac_bin005	13	28	0	2
Pful_bac_bin006	19	33	0	4
Pful_bac_bin007	13	9	1	0
Pful_bac_bin008	12	8	0	1
Pful_bac_bin009	59	12	7	6
Pful_bac_bin010	51	24	5	7
Pful_bac_bin011	71	21	11	11
Pful_bac_bin012	55	25	9	7
Pful_bac_bin013	73	30	19	14
Pful_bac_bin014	149	38	22	22
Pful_bac_bin015	129	46	16	22
Pful_bac_bin016	64	51	7	9
Pful_bac_bin017	129	39	9	19
Pful_bac_bin018	75	18	10	11
Pful_bac_bin019	30	17	3	6
Pful_bac_bin020	47	30	4	7
Pful_bac_bin021	36	16	1	3
Pful_bac_bin022	90	37	5	16
Pful_bac_bin023	66	57	9	15
Pful_bac_bin024	57	50	9	15
Pful_bac_bin025	21	22	1	6
Pful_bac_bin026	25	23	4	4
Pful_bac_bin027	42	7	3	3
Pful_bac_bin028	48	13	4	7
Pful_bac_bin029	29	27	12	8
Pful_bac_bin030	15	17	1	3
Pful_bac_bin031	24	11	4	5
Pful_bac_bin032	15	17	4	6
Pful_bac_bin033	50	7	3	9
Pful_bac_bin034	37	25	7	8
Pful_bac_bin035	127	24	3	17
Pful_bac_bin036	60	12	3	7
Pful_bac_bin037	54	25	5	7
Pful_bac_bin038	83	26	5	9
Pful_bac_bin039	21	27	1	2
Pful_bac_bin040	51	12	8	4
Pful_bac_bin041	61	23	10	5
Pful_bac_bin042	65	48	9	13
Pful_bac_bin043	8	8	5	5
Pful_bac_bin044	36	22	1	6
Pful_bac_bin045	22	14	0	11
Pful_bac_bin046	57	36	17	11
Pful_bac_bin047	36	22	8	12
Pful_bac_bin048	37	18	3	7
Pful_bac_bin049	51	33	8	10
Pful_bac_bin050	74	19	7	9
Pful_bac_bin051	102	45	3	24
Pful_bac_bin052	69	41	9	20
Pful_bac_bin053	91	57	18	19
Pful_bac_bin054	94	12	9	74
Pful_bac_bin055	56	26	8	21
Pful_bac_bin056	58	41	7	31
Pful_bac_bin057	50	22	8	7
Pful_bac_bin058	61	29	6	17
Pful_bac_bin059	92	31	11	22
Pful_bac_bin060	53	40	6	9
Pful_bac_bin061	157	58	12	66
Pful_bac_bin062	92	47	5	26
Pful_bac_bin063	66	34	11	6
Pful_bac_bin064	237	67	16	32
Pful_bac_bin065	106	40	10	32
Pful_bac_bin066	49	21	2	5
Pful_bac_bin067	66	29	10	12
Pful_bac_bin068	55	51	11	13
Pful_bac_bin069	41	22	4	4
Pful_bac_bin070	133	36	13	28
Pful_bac_bin071	73	34	10	22
Pful_bac_bin072	106	45	14	17
Pful_bac_bin073	98	47	12	24
Pful_bac_bin074	68	73	6	53
Pful_bac_bin075	27	18	10	8
Pful_bac_bin076	106	38	9	21
Pful_bac_bin077	33	34	9	29
Pful_bac_bin078	29	17	5	18
Pful_bac_bin079	77	33	11	14
Pful_bac_bin080	109	33	10	19
Pful_bac_bin081	127	32	10	17
Pful_bac_bin082	91	31	6	15
Pful_bac_bin083	70	37	9	24
Pful_bac_bin084	66	19	4	15
Pful_bac_bin085	48	37	3	21
Pful_bac_bin086	42	26	7	6
Pful_bac_bin087	8	8	4	5
Pful_bac_bin088	13	18	4	8
Pful_bac_bin089	25	18	5	5
Pful_bac_bin090	56	26	8	20
Pful_bac_bin091	10	14	1	7
Pful_bac_bin092	23	31	4	7
Pful_bac_bin093	33	25	4	7
Pful_bac_bin094	21	17	5	16
Pful_bac_bin095	36	27	7	10
Pful_bac_bin096	35	38	6	6
Pful_bac_bin097	50	17	5	11
Pful_bac_bin098	39	45	6	7
Pful_bac_bin099	42	29	4	4
Pful_bac_bin100	18	34	8	6
Pful_bac_bin101	22	20	6	4
Pful_bac_bin102	77	40	10	17
Pful_bac_bin103	53	33	6	3
Pful_bac_bin104	29	30	4	12
Pful_bac_bin105	49	14	8	8
Pful_bac_bin106	38	13	5	5
Pful_bac_bin107	89	28	12	26
Pful_bac_bin108	54	23	10	43
Pful_bac_bin109	36	23	8	7
Pful_bac_bin110	26	14	2	2
Pful_bac_bin111	15	19	2	3
Pful_bac_bin112	10	18	3	1
Pful_bac_bin113	24	42	3	23
Pful_bac_bin114	64	25	10	30
Pful_bac_bin115	33	18	4	4
Pful_bac_bin116	23	38	3	2
Pful_bac_bin117	19	14	4	6
Pful_bac_bin118	16	25	6	6
Pful_bac_bin119	22	17	5	6
Pful_bac_bin120	31	32	8	4
Pful_bac_bin121	22	21	6	8
Pful_bac_bin122	15	13	2	11
Pful_bac_bin123	14	14	3	3
Pful_bac_bin124	11	11	2	2
Pful_bac_bin125	12	9	1	4
Pful_bac_bin126	13	12	3	7
Pful_bac_bin127	18	12	3	2
Pful_bac_bin128	15	15	2	4
Pful_bac_bin129	25	24	7	10
Pful_bac_bin130	20	14	2	5
Pful_bac_bin131	16	18	5	3
Pful_bac_bin132	95	33	23	23
Pful_bac_bin133	4	8	7	2
Pful_bac_bin134	13	14	4	3
Pful_bac_bin135	85	50	4	17
Pful_bac_bin136	132	66	8	22
Pful_bac_bin137	79	16	3	15
Pful_bac_bin138	100	41	4	21
Pful_bac_bin139	102	44	14	22
Pful_bac_bin140	131	45	7	25
Pful_bac_bin141	56	15	2	3
Pful_bac_bin142	121	69	7	32
Pful_bac_bin143	20	10	0	8
Pful_bac_bin144	36	34	4	10
Pful_bac_bin145	24	28	2	9
Pful_bac_bin146	33	24	3	10
Pful_bac_bin147	24	20	2	6
Pful_bac_bin148	93	70	3	11
Pful_bac_bin149	25	18	0	9
Pful_bac_bin150	65	20	3	11
Pful_bac_bin151	47	47	6	13
Pful_bac_bin152	39	42	7	13
Pful_bac_bin153	15	23	1	8
Pful_bac_bin154	32	30	1	5
Pful_bac_bin155	27	55	4	5
Pful_bac_bin156	22	23	3	3
Pful_bac_bin157	15	22	6	4
Pful_bac_bin158	27	18	5	10
Pful_bac_bin159	30	4	1	4
Pful_bac_bin160	36	9	6	7
Pful_bac_bin161	56	20	7	10
Pful_bac_bin162	77	24	8	12
Pful_bac_bin163	106	40	8	13
Pful_bac_bin164	88	41	5	12
Pful_bac_bin165	56	33	5	13
Pful_bac_bin166	53	30	7	16
Pful_bac_bin167	46	16	3	19
Pful_bac_bin168	118	35	7	9
Pful_bac_bin169	51	27	5	5
Pful_bac_bin170	54	19	7	9
Pful_bac_bin171	13	10	4	0
Pful_bac_bin172	10	13	2	2
Pful_bac_bin173	1	2	0	0
Pful_bac_bin174	0	7	1	0
Pful_bac_bin175	9	20	2	1
Pful_bac_bin176	5	18	3	4
Pful_bac_bin177	3	3	1	3
Pful_bac_bin178	10	14	2	0
Pful_bac_bin179	37	15	0	8
Pful_bac_bin180	22	9	0	6
Pful_bac_bin181	180	42	16	40
Pful_bac_bin182	107	26	20	20
Pful_bac_bin183	63	50	8	16
Pful_bac_bin184	81	61	8	17
Pful_bac_bin185	21	29	4	3
Pful_bac_bin186	56	31	10	18
Pful_bac_bin187	271	74	28	64
Pful_bac_bin188	31	51	4	10
Pful_bac_bin189	110	54	5	42
Pful_bac_bin190	62	43	7	31
Pful_bac_bin191	101	63	7	56
Pful_bac_bin192	75	64	5	23
Pful_bac_bin193	31	58	6	9
Pful_bac_bin194	76	52	7	25
Pful_bac_bin195	88	61	9	26
Pful_bac_bin196	142	59	32	20
Pful_bac_bin197	321	81	15	63
Pful_bac_bin198	291	56	38	48
Pful_bac_bin199	229	42	25	36
Pful_bac_bin200	313	73	36	36
Pful_bac_bin201	244	57	23	60
Pful_bac_bin202	188	37	15	19
Pful_bac_bin203	186	36	16	18
Pful_bac_bin204	202	69	26	51
Pful_bac_bin205	345	49	16	56
Pful_bac_bin206	245	59	21	41
Pful_bac_bin207	171	51	24	26
Pful_bac_bin208	357	84	22	72
Pful_bac_bin209	201	55	26	40
Pful_bac_bin210	440	132	49	84
Pful_bac_bin211	458	117	46	96
Pful_bac_bin212	322	98	35	66
Pful_bac_bin213	218	66	28	44
Pful_bac_bin214	218	55	24	52
Pful_bac_bin215	347	73	45	81
Pful_bac_bin216	178	74	16	47
Pful_bac_bin217	70	41	5	11
Pful_bac_bin218	108	64	9	21
Pful_bac_bin219	87	46	4	10
Pful_bac_bin220	112	31	9	17
Pful_bac_bin221	31	48	5	7
Pful_bac_bin222	49	62	5	10
Pful_bac_bin223	39	65	5	12
Pful_bac_bin224	44	44	11	14
Pful_bac_bin225	162	59	15	33
Pful_bac_bin226	145	63	19	27
Pful_bac_bin227	186	65	18	27
Pful_bac_bin228	287	82	28	38
Pful_bac_bin229	67	73	11	25
Pful_bac_bin230	210	81	24	28
Pful_bac_bin231	135	73	30	29
Pful_bac_bin232	224	76	21	47
Pful_bac_bin233	165	80	16	24
Pful_bac_bin234	114	77	13	20
Pful_bac_bin235	160	88	19	32
Pful_bac_bin236	43	69	6	6
Pful_bac_bin237	181	87	15	66
Pful_bac_bin238	51	23	1	3
Pful_bac_bin239	48	43	2	11
Pful_bac_bin240	63	54	5	22
Pful_bac_bin241	69	64	6	17
Pful_bac_bin242	30	50	5	5
Pful_bac_bin243	34	55	5	8
Pful_bac_bin244	19	24	2	4
Pful_bac_bin245	102	66	6	24
Pful_bac_bin246	29	32	5	6
Pful_bac_bin247	31	64	6	5
Pful_bac_bin248	29	53	5	5
Pful_bac_bin249	20	36	1	4
Pful_bac_bin250	8	41	2	9
Pful_bac_bin251	20	47	4	8
Pful_bac_bin252	25	57	2	6
Pful_bac_bin253	46	61	2	8
Pful_bac_bin254	16	37	2	5
Pful_bac_bin255	23	50	6	8
Pful_bac_bin256	152	30	13	30
Pful_bac_bin257	44	41	5	10
Pful_bac_bin258	45	22	6	14
Pful_bac_bin259	47	57	5	23
Pful_bac_bin260	82	48	11	45
Pful_bac_bin261	51	38	4	12
Pful_bac_bin262	148	42	10	27
Pful_bac_bin263	116	49	8	43
Pful_bac_bin264	164	56	21	57
Pful_bac_bin265	224	73	23	100
Pful_bac_bin266	30	62	8	9
Pful_bac_bin267	30	68	7	10
Pful_bac_bin268	91	71	17	42
Pful_bac_bin269	169	77	14	42
Pful_bac_bin270	90	22	4	11
Pful_bac_bin271	96	42	8	6
Pful_bac_bin272	51	22	3	5
Pful_bac_bin273	56	52	6	8
Pful_bac_bin274	61	44	3	12
Pful_bac_bin275	100	40	17	16
Pful_bac_bin276	63	19	12	13
Pful_bac_bin277	62	27	8	8
Pful_bac_bin278	38	38	12	18
Pful_bac_bin279	139	35	25	17
Pful_bac_bin280	58	32	19	25
Pful_bac_bin281	28	25	9	11
Pful_bac_bin282	99	42	17	11
Pful_bac_bin283	106	45	12	15
Pful_bac_bin284	18	22	3	1
Pful_bac_bin285	22	24	3	5
Pful_bac_bin286	11	20	2	5
Pful_bac_bin287	38	17	1	7
Pful_bac_bin288	96	34	4	11
Pful_bac_bin289	38	30	4	5
Pful_bac_bin290	35	17	4	8
Pful_bac_bin291	24	24	2	1
Pful_bac_bin292	42	32	3	6
Pful_bac_bin293	28	25	4	6
Pful_bac_bin294	43	37	7	11
Pful_bac_bin295	33	49	6	6
Pful_bac_bin296	27	37	5	10
Pful_bac_bin297	39	42	7	5
Pful_bac_bin298	95	47	13	10
Pful_bac_bin299	26	39	3	5
Pful_bac_bin300	100	28	11	21
Pful_bac_bin301	55	22	7	7
Pful_bac_bin302	98	39	7	15
Pful_bac_bin303	25	23	0	3
Pful_bac_bin304	39	19	6	6
Pful_bac_bin305	49	30	5	10
Pful_bac_bin306	69	30	4	14
Pful_bac_bin307	46	34	6	6
Pful_bac_bin308	31	22	5	7
Pful_bac_bin309	44	37	3	6
Pful_bac_bin310	24	26	5	3
Pful_bac_bin311	35	29	4	6
Pful_bac_bin312	42	37	5	9
Pful_bac_bin313	31	35	3	8
Pful_bac_bin314	43	29	4	8
Pful_bac_bin315	50	36	5	10
Pful_bac_bin316	38	34	5	8
Pful_bac_bin317	195	70	26	38
Pful_bac_bin318	249	47	21	26
Pful_bac_bin319	106	49	9	16
Pful_bac_bin320	118	50	14	25
Pful_bac_bin321	77	61	15	19
Pful_bac_bin322	108	52	15	22
Pful_bac_bin323	173	67	9	35
Pful_bac_bin324	151	61	18	30
Pful_bac_bin325	116	64	31	31
Pful_bac_bin326	123	63	23	26
Pful_bac_bin327	212	70	21	37
Pful_bac_bin328	99	47	7	15
Pful_bac_bin329	165	49	24	33
Pful_bac_bin330	155	49	24	31
Pful_bac_bin331	94	41	9	24
Pful_bac_bin332	89	41	7	33
Pful_bac_bin333	110	47	6	28
Pful_bac_bin334	112	33	8	24
Pful_bac_bin335	238	68	16	36
Pful_bac_bin336	117	60	12	22
Pful_bac_bin337	137	58	15	32
Pful_bac_bin338	147	65	13	25
Pful_bac_bin339	221	80	22	42
Pful_bac_bin340	193	67	22	34
Pful_bac_bin341	175	71	15	43
Pful_bac_bin342	84	14	14	11
Pful_bac_bin343	192	54	14	38
Pful_bac_bin344	96	56	11	21
Pful_bac_bin345	131	48	14	23
Pful_bac_bin346	208	56	22	29
Pful_bac_bin347	344	65	25	47
Pful_bac_bin348	186	71	17	32
Pful_bac_bin349	282	62	25	44
Pful_bac_bin350	19	28	1	3
Pful_bac_bin351	159	71	12	43
Pful_bac_bin352	239	60	18	57
Pful_bac_bin353	31	34	5	5
Pful_bac_bin354	48	49	12	10
Pful_bac_bin355	34	32	9	6
Pful_bac_bin356	37	32	8	11
Pful_bac_bin357	62	30	4	10
Pful_bac_bin358	58	34	7	10
Pful_bac_bin359	41	40	6	5
Pful_bac_bin360	28	39	4	3
Pful_bac_bin361	50	49	5	8
Pful_bac_bin362	57	47	8	9
Pful_bac_bin363	41	52	15	9
Pful_bac_bin364	47	57	5	13
Pful_bac_bin365	18	42	1	3
Pful_bac_bin366	20	49	2	3
Pful_bac_bin367	18	30	0	6
Pful_bac_bin368	42	57	6	6
Pful_bac_bin369	38	53	2	8
Pful_bac_bin370	30	54	4	8
Pful_bac_bin371	14	27	0	6
Pful_bac_bin372	11	49	2	5
Pful_bac_bin373	161	40	21	41
Pful_bac_bin374	28	27	3	6
Pful_bac_bin375	21	25	3	6
Pful_bac_bin376	10	31	1	3
Pful_bac_bin377	19	17	1	8
Pful_bac_bin378	12	25	2	2
Pful_bac_bin379	14	27	1	0
Pful_bac_bin380	27	39	2	1
Pful_bac_bin381	22	27	3	4
Pful_bac_bin382	20	43	2	5
Pful_bac_bin383	29	29	5	4
Pful_bac_bin384	24	34	2	2
Pful_bac_bin385	16	25	2	2
Pful_bac_bin386	22	32	2	4
