protein	KO	pathway
OG0005222	K12654	ko05131
OG0005222	K12654	ko05163
OG0005222	K12654	ko05168
OG0005222	K12654	ko05170
OG0005222	K12654	ko05171
OG0005224	K10752	ko03082
OG0005224	K10752	ko03083
OG0005224	K10752	ko04218
OG0005225	K11462	ko03083
OG0005226	K18161	ko04714
OG0005227	K08791	ko04214
OG0005227	K08791	ko04390
OG0005227	K08791	ko04391
OG0005227	K08791	ko04392
OG0005230	K15890	ko00900
OG0005230	K15890	ko00981
OG0005230	K15890	ko01110
OG0005231	K01623	ko00010
OG0005231	K01623	ko00030
OG0005231	K01623	ko00051
OG0005231	K01623	ko00680
OG0005231	K01623	ko00710
OG0005231	K01623	ko01100
OG0005231	K01623	ko01110
OG0005231	K01623	ko01120
OG0005231	K01623	ko01200
OG0005231	K01623	ko01230
OG0005231	K01623	ko04066
OG0005235	K08734	ko01524
OG0005235	K08734	ko03430
OG0005235	K08734	ko03460
OG0005235	K08734	ko05200
OG0005235	K08734	ko05210
OG0005235	K08734	ko05213
OG0005235	K08734	ko05226
OG0005237	K18462	ko04144
OG0005239	K20232	ko04013
OG0005241	K06170	ko04330
OG0005241	K06170	ko05010
OG0005242	K13337	ko04146
OG0005243	K00927	ko00010
OG0005243	K00927	ko00710
OG0005243	K00927	ko01100
OG0005243	K00927	ko01110
OG0005243	K00927	ko01120
OG0005243	K00927	ko01200
OG0005243	K00927	ko01230
OG0005243	K00927	ko04066
OG0005248	K12272	ko03060
OG0005249	K15167	ko04919
OG0005251	K00275	ko00750
OG0005251	K00275	ko01100
OG0005251	K00275	ko01120
OG0005251	K00275	ko01240
OG0005255	K00115	ko00030
OG0005255	K00115	ko01100
OG0005255	K00115	ko01110
OG0005256	K01179	ko00500
OG0005256	K01179	ko01100
OG0005256	K01179	ko02020
OG0005260	K17917	ko04144
OG0005263	K04393	ko04010
OG0005263	K04393	ko04011
OG0005263	K04393	ko04014
OG0005263	K04393	ko04015
OG0005263	K04393	ko04062
OG0005263	K04393	ko04144
OG0005263	K04393	ko04360
OG0005263	K04393	ko04370
OG0005263	K04393	ko04510
OG0005263	K04393	ko04520
OG0005263	K04393	ko04530
OG0005263	K04393	ko04660
OG0005263	K04393	ko04666
OG0005263	K04393	ko04670
OG0005263	K04393	ko04722
OG0005263	K04393	ko04810
OG0005263	K04393	ko04912
OG0005263	K04393	ko04932
OG0005263	K04393	ko04933
OG0005263	K04393	ko05100
OG0005263	K04393	ko05120
OG0005263	K04393	ko05130
OG0005263	K04393	ko05131
OG0005263	K04393	ko05132
OG0005263	K04393	ko05135
OG0005263	K04393	ko05165
OG0005263	K04393	ko05200
OG0005263	K04393	ko05203
OG0005263	K04393	ko05205
OG0005263	K04393	ko05211
OG0005263	K04393	ko05212
OG0005263	K04393	ko05417
OG0005267	K10362	ko04814
OG0005268	K10362	ko04814
OG0005269	K08752	ko03320
OG0005270	K02183	ko04014
OG0005270	K02183	ko04015
OG0005270	K02183	ko04016
OG0005270	K02183	ko04020
OG0005270	K02183	ko04022
OG0005270	K02183	ko04024
OG0005270	K02183	ko04070
OG0005270	K02183	ko04075
OG0005270	K02183	ko04114
OG0005270	K02183	ko04218
OG0005270	K02183	ko04261
OG0005270	K02183	ko04270
OG0005270	K02183	ko04371
OG0005270	K02183	ko04625
OG0005270	K02183	ko04626
OG0005270	K02183	ko04713
OG0005270	K02183	ko04720
OG0005270	K02183	ko04722
OG0005270	K02183	ko04728
OG0005270	K02183	ko04740
OG0005270	K02183	ko04744
OG0005270	K02183	ko04745
OG0005270	K02183	ko04750
OG0005270	K02183	ko04910
OG0005270	K02183	ko04912
OG0005270	K02183	ko04915
OG0005270	K02183	ko04916
OG0005270	K02183	ko04921
OG0005270	K02183	ko04922
OG0005270	K02183	ko04924
OG0005270	K02183	ko04925
OG0005270	K02183	ko04970
OG0005270	K02183	ko04971
OG0005270	K02183	ko05010
OG0005270	K02183	ko05012
OG0005270	K02183	ko05022
OG0005270	K02183	ko05031
OG0005270	K02183	ko05034
OG0005270	K02183	ko05133
OG0005270	K02183	ko05152
OG0005270	K02183	ko05163
OG0005270	K02183	ko05167
OG0005270	K02183	ko05170
OG0005270	K02183	ko05200
OG0005270	K02183	ko05214
OG0005270	K02183	ko05417
OG0005270	K02183	ko05418
OG0005270	K13448	ko04626
OG0005273	K15637	ko04137
OG0005273	K15637	ko04217
OG0005273	K15637	ko04668
OG0005277	K02318	ko00770
OG0005277	K02318	ko01100
OG0005277	K02318	ko01240
OG0005277	K00859	ko00770
OG0005277	K00859	ko01100
OG0005277	K00859	ko01240
OG0005281	K13411	ko04013
OG0005281	K13411	ko04624
OG0005281	K13411	ko04918
OG0005282	K12398	ko04142
OG0005284	K14398	ko03015
OG0005284	K14398	ko03250
OG0005287	K12185	ko04144
OG0005288	K11414	ko00760
OG0005288	K11414	ko01100
OG0005290	K00115	ko00030
OG0005290	K00115	ko01100
OG0005290	K00115	ko01110
OG0005291	K00115	ko00030
OG0005291	K00115	ko01100
OG0005291	K00115	ko01110
OG0005294	K06628	ko04110
OG0005294	K06628	ko04111
OG0005294	K06628	ko04113
OG0005296	K05648	ko02010
OG0005297	K14016	ko04141
OG0005300	K09530	ko04141
OG0005302	K14408	ko03015
OG0005304	K11262	ko00061
OG0005304	K11262	ko00254
OG0005304	K11262	ko00620
OG0005304	K11262	ko00640
OG0005304	K11262	ko01100
OG0005304	K11262	ko01110
OG0005304	K11262	ko01120
OG0005304	K11262	ko01212
OG0005304	K11262	ko04152
OG0005304	K11262	ko04910
OG0005304	K11262	ko04922
OG0005304	K11262	ko04936
OG0005309	K03017	ko03020
OG0005309	K03017	ko03420
OG0005309	K03017	ko05016
OG0005310	K03935	ko00190
OG0005310	K03935	ko01100
OG0005310	K03935	ko04714
OG0005310	K03935	ko04723
OG0005310	K03935	ko04932
OG0005310	K03935	ko05010
OG0005310	K03935	ko05012
OG0005310	K03935	ko05014
OG0005310	K03935	ko05016
OG0005310	K03935	ko05020
OG0005310	K03935	ko05022
OG0005310	K03935	ko05208
OG0005310	K03935	ko05415
OG0005310	K00333	ko00190
OG0005310	K00333	ko01100
OG0005311	K13885	ko03272
OG0005311	K13885	ko04145
OG0005311	K13885	ko04913
OG0005311	K13885	ko04925
OG0005311	K13885	ko04927
OG0005311	K13885	ko04934
OG0005311	K13885	ko04975
OG0005311	K13885	ko04976
OG0005311	K13885	ko04977
OG0005311	K13885	ko04979
OG0005311	K13885	ko05160
OG0005312	K13885	ko03272
OG0005312	K13885	ko04145
OG0005312	K13885	ko04913
OG0005312	K13885	ko04925
OG0005312	K13885	ko04927
OG0005312	K13885	ko04934
OG0005312	K13885	ko04975
OG0005312	K13885	ko04976
OG0005312	K13885	ko04977
OG0005312	K13885	ko04979
OG0005312	K13885	ko05160
OG0005313	K13885	ko03272
OG0005313	K13885	ko04145
OG0005313	K13885	ko04913
OG0005313	K13885	ko04925
OG0005313	K13885	ko04927
OG0005313	K13885	ko04934
OG0005313	K13885	ko04975
OG0005313	K13885	ko04976
OG0005313	K13885	ko04977
OG0005313	K13885	ko04979
OG0005313	K13885	ko05160
OG0005314	K13885	ko03272
OG0005314	K13885	ko04145
OG0005314	K13885	ko04913
OG0005314	K13885	ko04925
OG0005314	K13885	ko04927
OG0005314	K13885	ko04934
OG0005314	K13885	ko04975
OG0005314	K13885	ko04976
OG0005314	K13885	ko04977
OG0005314	K13885	ko04979
OG0005314	K13885	ko05160
OG0005319	K06632	ko04110
OG0005319	K06632	ko05170
OG0005322	K03039	ko03050
OG0005322	K03039	ko05010
OG0005322	K03039	ko05012
OG0005322	K03039	ko05014
OG0005322	K03039	ko05016
OG0005322	K03039	ko05017
OG0005322	K03039	ko05020
OG0005322	K03039	ko05022
OG0005322	K03039	ko05169
OG0005325	K01099	ko00562
OG0005325	K01099	ko01100
OG0005325	K01099	ko04070
OG0005333	K09565	ko04020
OG0005333	K09565	ko04022
OG0005333	K09565	ko04613
OG0005333	K09565	ko05010
OG0005333	K09565	ko05012
OG0005333	K09565	ko05016
OG0005333	K09565	ko05017
OG0005333	K09565	ko05020
OG0005333	K09565	ko05022
OG0005333	K09565	ko05145
OG0005333	K09565	ko05208
OG0005333	K09565	ko05415
OG0005333	K03767	ko01503
OG0005333	K03767	ko03250
OG0005333	K03767	ko04217
OG0005335	K06086	ko03320
OG0005335	K06086	ko04520
OG0005335	K06086	ko04910
OG0005337	K10849	ko01524
OG0005337	K10849	ko03420
OG0005337	K10849	ko03460
OG0005344	K15181	ko03250
OG0005345	K22697	ko00564
OG0005345	K22697	ko01110
OG0005346	K03026	ko03020
OG0005346	K03026	ko04623
OG0005348	K00981	ko00564
OG0005348	K00981	ko01100
OG0005348	K00981	ko01110
OG0005348	K00981	ko04070
OG0005350	K00802	ko00270
OG0005350	K00802	ko00330
OG0005350	K00802	ko00480
OG0005350	K00802	ko01100
OG0005351	K14007	ko04141
OG0005351	K14007	ko05130
OG0005354	K04802	ko03030
OG0005354	K04802	ko03410
OG0005354	K04802	ko03420
OG0005354	K04802	ko03430
OG0005354	K04802	ko04110
OG0005354	K04802	ko04530
OG0005354	K04802	ko05161
OG0005358	K16684	ko04390
OG0005358	K16684	ko04391
OG0005358	K16684	ko04392
OG0005358	K16684	ko04530
OG0005359	K13345	ko04146
OG0005360	K00505	ko00350
OG0005360	K00505	ko00950
OG0005360	K00505	ko01100
OG0005360	K00505	ko01110
OG0005360	K00505	ko04916
OG0005361	K12890	ko03040
OG0005361	K12890	ko04657
OG0005361	K12890	ko05168
OG0005362	K18082	ko00562
OG0005362	K18082	ko01100
OG0005362	K18082	ko04070
OG0005362	K18082	ko04140
OG0005365	K11428	ko00310
OG0005365	K11428	ko01100
OG0005366	K06127	ko00130
OG0005366	K06127	ko01100
OG0005366	K06127	ko01110
OG0005366	K06127	ko01240
OG0005366	K03183	ko00130
OG0005366	K03183	ko01100
OG0005366	K03183	ko01110
OG0005366	K03183	ko01240
OG0005368	K06232	ko04340
OG0005370	K03937	ko00190
OG0005370	K03937	ko01100
OG0005370	K03937	ko04714
OG0005370	K03937	ko04723
OG0005370	K03937	ko04932
OG0005370	K03937	ko05010
OG0005370	K03937	ko05012
OG0005370	K03937	ko05014
OG0005370	K03937	ko05016
OG0005370	K03937	ko05020
OG0005370	K03937	ko05022
OG0005370	K03937	ko05208
OG0005370	K03937	ko05415
OG0005373	K09667	ko00514
OG0005373	K09667	ko03083
OG0005373	K09667	ko04931
OG0005376	K14569	ko03008
OG0005376	K14553	ko03008
OG0005379	K14209	ko04138
OG0005379	K14209	ko04974
OG0005384	K09026	ko04710
OG0005385	K05863	ko04020
OG0005385	K05863	ko04022
OG0005385	K05863	ko04217
OG0005385	K05863	ko04218
OG0005385	K05863	ko04613
OG0005385	K05863	ko05010
OG0005385	K05863	ko05012
OG0005385	K05863	ko05016
OG0005385	K05863	ko05017
OG0005385	K05863	ko05020
OG0005385	K05863	ko05022
OG0005385	K05863	ko05164
OG0005385	K05863	ko05166
OG0005385	K05863	ko05208
OG0005385	K05863	ko05415
OG0005387	K05012	ko04613
OG0005389	K14209	ko04138
OG0005389	K14209	ko04974
OG0005390	K14209	ko04138
OG0005390	K14209	ko04974
OG0005391	K01873	ko00970
OG0005393	K19528	ko03440
OG0005395	K08027	ko04950
OG0005397	K06497	ko03272
OG0005397	K06497	ko04142
OG0005397	K06497	ko05205
OG0005398	K17536	ko04013
OG0005399	K22384	ko03060
OG0005409	K11478	ko03083
OG0005409	K11478	ko04550
OG0005415	K11294	ko05130
OG0005419	K04467	ko01523
OG0005419	K04467	ko04010
OG0005419	K04467	ko04014
OG0005419	K04467	ko04062
OG0005419	K04467	ko04064
OG0005419	K04467	ko04068
OG0005419	K04467	ko04150
OG0005419	K04467	ko04151
OG0005419	K04467	ko04210
OG0005419	K04467	ko04380
OG0005419	K04467	ko04620
OG0005419	K04467	ko04621
OG0005419	K04467	ko04622
OG0005419	K04467	ko04623
OG0005419	K04467	ko04625
OG0005419	K04467	ko04657
OG0005419	K04467	ko04658
OG0005419	K04467	ko04659
OG0005419	K04467	ko04660
OG0005419	K04467	ko04662
OG0005419	K04467	ko04668
OG0005419	K04467	ko04920
OG0005419	K04467	ko04936
OG0005419	K04467	ko05010
OG0005419	K04467	ko05120
OG0005419	K04467	ko05130
OG0005419	K04467	ko05131
OG0005419	K04467	ko05132
OG0005419	K04467	ko05135
OG0005419	K04467	ko05142
OG0005419	K04467	ko05145
OG0005419	K04467	ko05160
OG0005419	K04467	ko05161
OG0005419	K04467	ko05162
OG0005419	K04467	ko05163
OG0005419	K04467	ko05164
OG0005419	K04467	ko05165
OG0005419	K04467	ko05166
OG0005419	K04467	ko05167
OG0005419	K04467	ko05168
OG0005419	K04467	ko05169
OG0005419	K04467	ko05170
OG0005419	K04467	ko05171
OG0005419	K04467	ko05200
OG0005419	K04467	ko05208
OG0005419	K04467	ko05212
OG0005419	K04467	ko05215
OG0005419	K04467	ko05220
OG0005419	K04467	ko05221
OG0005419	K04467	ko05222
OG0005419	K04467	ko05235
OG0005419	K04467	ko05417
OG0005419	K04467	ko05418
OG0005421	K00012	ko00040
OG0005421	K00012	ko00053
OG0005421	K00012	ko00520
OG0005421	K00012	ko00541
OG0005421	K00012	ko01100
OG0005421	K00012	ko01240
OG0005421	K00012	ko01250
OG0005422	K04674	ko04010
OG0005422	K04674	ko04060
OG0005422	K04674	ko04068
OG0005422	K04674	ko04144
OG0005422	K04674	ko04218
OG0005422	K04674	ko04350
OG0005422	K04674	ko04371
OG0005422	K04674	ko04380
OG0005422	K04674	ko04390
OG0005422	K04674	ko04520
OG0005422	K04674	ko04659
OG0005422	K04674	ko04926
OG0005422	K04674	ko04933
OG0005422	K04674	ko05142
OG0005422	K04674	ko05161
OG0005422	K04674	ko05166
OG0005422	K04674	ko05200
OG0005422	K04674	ko05210
OG0005422	K04674	ko05212
OG0005422	K04674	ko05220
OG0005422	K04674	ko05225
OG0005422	K04674	ko05226
OG0005422	K04674	ko05415
OG0005424	K17751	ko04022
OG0005424	K17751	ko04260
OG0005424	K17751	ko04261
OG0005424	K17751	ko04814
OG0005424	K17751	ko04820
OG0005424	K17751	ko04919
OG0005424	K17751	ko05410
OG0005424	K17751	ko05414
OG0005424	K17751	ko05416
OG0005430	K04361	ko01521
OG0005430	K04361	ko01522
OG0005430	K04361	ko03272
OG0005430	K04361	ko04010
OG0005430	K04361	ko04012
OG0005430	K04361	ko04013
OG0005430	K04361	ko04014
OG0005430	K04361	ko04015
OG0005430	K04361	ko04020
OG0005430	K04361	ko04066
OG0005430	K04361	ko04068
OG0005430	K04361	ko04072
OG0005430	K04361	ko04144
OG0005430	K04361	ko04151
OG0005430	K04361	ko04214
OG0005430	K04361	ko04320
OG0005430	K04361	ko04510
OG0005430	K04361	ko04520
OG0005430	K04361	ko04540
OG0005430	K04361	ko04630
OG0005430	K04361	ko04810
OG0005430	K04361	ko04912
OG0005430	K04361	ko04915
OG0005430	K04361	ko04921
OG0005430	K04361	ko04926
OG0005430	K04361	ko04928
OG0005430	K04361	ko04934
OG0005430	K04361	ko05120
OG0005430	K04361	ko05131
OG0005430	K04361	ko05160
OG0005430	K04361	ko05163
OG0005430	K04361	ko05165
OG0005430	K04361	ko05171
OG0005430	K04361	ko05200
OG0005430	K04361	ko05205
OG0005430	K04361	ko05206
OG0005430	K04361	ko05207
OG0005430	K04361	ko05208
OG0005430	K04361	ko05210
OG0005430	K04361	ko05212
OG0005430	K04361	ko05213
OG0005430	K04361	ko05214
OG0005430	K04361	ko05215
OG0005430	K04361	ko05218
OG0005430	K04361	ko05219
OG0005430	K04361	ko05223
OG0005430	K04361	ko05224
OG0005430	K04361	ko05225
OG0005430	K04361	ko05226
OG0005430	K04361	ko05230
OG0005430	K04361	ko05231
OG0005430	K04361	ko05235
OG0005431	K19363	ko04142
OG0005432	K12572	ko03018
OG0005435	K12892	ko03040
OG0005435	K12892	ko05014
OG0005435	K12892	ko05168
OG0005436	K10408	ko04814
OG0005436	K10408	ko05014
OG0005436	K10408	ko05016
OG0005436	K10408	ko05022
OG0005440	K01312	ko04080
OG0005440	K01312	ko04972
OG0005440	K01312	ko04974
OG0005440	K01312	ko05164
OG0005443	K15182	ko03250
OG0005444	K00645	ko00061
OG0005444	K00645	ko00074
OG0005444	K00645	ko00333
OG0005444	K00645	ko01100
OG0005444	K00645	ko01110
OG0005444	K00645	ko01212
OG0005446	K02296	ko04710
OG0005446	K02296	ko04711
OG0005446	K02296	ko04728
OG0005448	K02223	ko04710
OG0005448	K02223	ko04711
OG0005448	K02223	ko04728
OG0005450	K10356	ko04814
OG0005450	K10356	ko05130
OG0005457	K25203	ko03013
OG0005458	K04565	ko04146
OG0005458	K04565	ko04213
OG0005458	K04565	ko05012
OG0005458	K04565	ko05014
OG0005458	K04565	ko05016
OG0005458	K04565	ko05020
OG0005458	K04565	ko05022
OG0005458	K04565	ko05208
OG0005460	K02884	ko03010
OG0005462	K22139	ko05415
OG0005468	K00816	ko00270
OG0005468	K00816	ko00380
OG0005468	K00816	ko00450
OG0005468	K00816	ko01100
OG0005468	K00816	ko01110
OG0005471	K02973	ko03010
OG0005471	K02973	ko05171
OG0005472	K10691	ko05165
OG0005472	K10691	ko05203
OG0005474	K08517	ko04130
OG0005474	K08517	ko04145
OG0005474	K08517	ko05134
OG0005476	K02936	ko03010
OG0005476	K02936	ko05171
OG0005480	K05181	ko04080
OG0005480	K05181	ko04723
OG0005480	K05181	ko04726
OG0005480	K05181	ko04727
OG0005480	K05181	ko05032
OG0005480	K05181	ko05033
OG0005481	K00501	ko00350
OG0005481	K00501	ko00790
OG0005481	K00501	ko00950
OG0005481	K00501	ko01100
OG0005481	K00501	ko01110
OG0005481	K00501	ko04728
OG0005481	K00501	ko04917
OG0005481	K00501	ko05012
OG0005481	K00501	ko05030
OG0005481	K00501	ko05031
OG0005481	K00501	ko05034
OG0005481	K00500	ko00360
OG0005481	K00500	ko00400
OG0005481	K00500	ko00790
OG0005481	K00500	ko01100
OG0005481	K00500	ko01230
OG0005484	K03137	ko03022
OG0005484	K03137	ko05203
OG0005486	K03135	ko03022
OG0005489	K11863	ko04141
OG0005489	K11863	ko05017
OG0005489	K11863	ko05022
OG0005490	K06272	ko03320
OG0005490	K06272	ko04360
OG0005490	K06272	ko04510
OG0005490	K06272	ko05100
OG0005490	K06272	ko05131
OG0005490	K06272	ko05213
OG0005496	K04559	ko05016
OG0005496	K04559	ko05022
OG0005497	K00457	ko00130
OG0005497	K00457	ko00350
OG0005497	K00457	ko00360
OG0005497	K00457	ko01100
OG0005497	K00457	ko01240
OG0005498	K11666	ko03082
OG0005506	K09503	ko04141
OG0005507	K03011	ko03020
OG0005507	K03011	ko03420
OG0005507	K03011	ko05016
OG0005510	K11471	ko03083
OG0005514	K17080	ko03264
OG0005515	K01519	ko00230
OG0005515	K01519	ko00983
OG0005515	K01519	ko01100
OG0005515	K01519	ko01232
OG0005518	K24678	ko04340
OG0005518	K24678	ko04341
OG0005522	K14285	ko03008
OG0005522	K14285	ko03013
OG0005522	K14285	ko03015
OG0005522	K14285	ko05014
OG0005522	K14285	ko05164
OG0005524	K07299	ko04066
OG0005524	K07299	ko04148
OG0005524	K07299	ko04911
OG0005524	K07299	ko04919
OG0005524	K07299	ko04920
OG0005524	K07299	ko04922
OG0005524	K07299	ko04931
OG0005524	K07299	ko04976
OG0005524	K07299	ko05166
OG0005524	K07299	ko05200
OG0005524	K07299	ko05211
OG0005524	K07299	ko05230
OG0005524	K07299	ko05415
OG0005525	K10260	ko04120
OG0005526	K06641	ko04110
OG0005526	K06641	ko04111
OG0005526	K06641	ko04115
OG0005526	K06641	ko04218
OG0005526	K06641	ko05166
OG0005529	K09578	ko03250
OG0005529	K09578	ko04622
OG0005530	K05756	ko04138
OG0005530	K05756	ko04144
OG0005530	K05756	ko04530
OG0005530	K05756	ko04666
OG0005530	K05756	ko04810
OG0005530	K05756	ko05100
OG0005530	K05756	ko05130
OG0005530	K05756	ko05131
OG0005530	K05756	ko05132
OG0005530	K05756	ko05135
OG0005531	K10147	ko04115
OG0005534	K06279	ko01521
OG0005534	K06279	ko01522
OG0005534	K06279	ko04012
OG0005534	K06279	ko04013
OG0005534	K06279	ko04014
OG0005534	K06279	ko04062
OG0005534	K06279	ko04072
OG0005534	K06279	ko04510
OG0005534	K06279	ko04650
OG0005534	K06279	ko04722
OG0005534	K06279	ko04910
OG0005534	K06279	ko04915
OG0005534	K06279	ko04917
OG0005534	K06279	ko04926
OG0005534	K06279	ko04935
OG0005534	K06279	ko05034
OG0005534	K06279	ko05100
OG0005534	K06279	ko05206
OG0005534	K06279	ko05214
OG0005534	K06279	ko05220
OG0005534	K06279	ko05224
OG0005534	K06279	ko05225
OG0005534	K06279	ko05226
OG0005537	K13577	ko04964
OG0005538	K25204	ko03013
OG0005539	K10412	ko04814
OG0005539	K10412	ko05014
OG0005539	K10412	ko05016
OG0005539	K10412	ko05022
OG0005540	K12580	ko03018
OG0005544	K15170	ko04919
OG0005546	K00318	ko00330
OG0005546	K00318	ko01100
OG0005546	K00318	ko01110
OG0005551	K10803	ko03410
OG0005554	K12387	ko04142
OG0005557	K04142	ko04020
OG0005557	K04142	ko04022
OG0005557	K04142	ko04024
OG0005557	K04142	ko04080
OG0005557	K04142	ko04081
OG0005557	K04142	ko04261
OG0005557	K04142	ko04923
OG0005557	K04142	ko04924
OG0005557	K04142	ko04970
OG0005557	K04142	ko05207
OG0005558	K21798	ko00562
OG0005558	K21798	ko01100
OG0005558	K21798	ko04070
OG0005560	K23720	ko03420
OG0005564	K14455	ko00220
OG0005564	K14455	ko00250
OG0005564	K14455	ko00270
OG0005564	K14455	ko00330
OG0005564	K14455	ko00350
OG0005564	K14455	ko00360
OG0005564	K14455	ko00400
OG0005564	K14455	ko00710
OG0005564	K14455	ko00950
OG0005564	K14455	ko00960
OG0005564	K14455	ko01100
OG0005564	K14455	ko01110
OG0005564	K14455	ko01120
OG0005564	K14455	ko01200
OG0005564	K14455	ko01210
OG0005564	K14455	ko01230
OG0005564	K14455	ko04975
OG0005568	K20020	ko04340
OG0005568	K20020	ko04360
OG0005569	K17603	ko04140
OG0005569	K17603	ko05022
OG0005570	K03233	ko05134
OG0005576	K01217	ko00531
OG0005576	K01217	ko01100
OG0005576	K01217	ko04142
OG0005577	K13151	ko03013
OG0005579	K14416	ko03015
OG0005579	K14416	ko05134
OG0005587	K13509	ko00561
OG0005587	K13509	ko00564
OG0005587	K13509	ko01100
OG0005587	K13509	ko01110
OG0005587	K13509	ko04072
OG0005587	K13509	ko04975
OG0005587	K00655	ko00561
OG0005587	K00655	ko00564
OG0005587	K00655	ko01100
OG0005587	K00655	ko01110
OG0005593	K12186	ko04144
OG0005595	K20235	ko04013
OG0005596	K03679	ko03018
OG0005597	K15377	ko05231
OG0005601	K14409	ko03015
OG0005604	K03115	ko03008
OG0005604	K03115	ko03083
OG0005604	K03115	ko04064
OG0005604	K03115	ko04137
OG0005604	K03115	ko04139
OG0005604	K03115	ko04310
OG0005604	K03115	ko04520
OG0005604	K03115	ko04712
OG0005604	K03115	ko05010
OG0005604	K03115	ko05020
OG0005604	K03115	ko05022
OG0005604	K03115	ko05162
OG0005604	K03115	ko05235
OG0005606	K13151	ko03013
OG0005613	K01052	ko00100
OG0005613	K01052	ko04142
OG0005613	K01052	ko04148
OG0005613	K01052	ko04979
OG0005616	K02907	ko03010
OG0005617	K04431	ko04010
OG0005617	K04431	ko04012
OG0005617	K04431	ko04013
OG0005617	K04431	ko04141
OG0005617	K04431	ko04214
OG0005617	K04431	ko04361
OG0005617	K04431	ko04380
OG0005617	K04431	ko04530
OG0005617	K04431	ko04620
OG0005617	K04431	ko04624
OG0005617	K04431	ko04660
OG0005617	K04431	ko04664
OG0005617	K04431	ko04668
OG0005617	K04431	ko04722
OG0005617	K04431	ko04912
OG0005617	K04431	ko04926
OG0005617	K04431	ko04936
OG0005617	K04431	ko05010
OG0005617	K04431	ko05016
OG0005617	K04431	ko05022
OG0005617	K04431	ko05132
OG0005617	K04431	ko05135
OG0005617	K04431	ko05161
OG0005617	K04431	ko05167
OG0005617	K04431	ko05169
OG0005617	K04431	ko05170
OG0005617	K04431	ko05208
OG0005617	K04431	ko05417
OG0005617	K04431	ko05418
OG0005625	K11592	ko05206
OG0005627	K05768	ko04666
OG0005627	K05768	ko04810
OG0005627	K05768	ko05203
OG0005628	K05768	ko04666
OG0005628	K05768	ko04810
OG0005628	K05768	ko05203
OG0005629	K11996	ko04122
OG0005629	K21029	ko04122
OG0005630	K00965	ko00052
OG0005630	K00965	ko00520
OG0005630	K00965	ko01100
OG0005630	K00965	ko01250
OG0005630	K00965	ko04917
OG0005631	K02730	ko03050
OG0005631	K02730	ko05010
OG0005631	K02730	ko05012
OG0005631	K02730	ko05014
OG0005631	K02730	ko05016
OG0005631	K02730	ko05017
OG0005631	K02730	ko05020
OG0005631	K02730	ko05022
OG0005633	K01063	ko00981
OG0005634	K05940	ko04146
OG0005645	K08331	ko04136
OG0005645	K08331	ko04138
OG0005645	K08331	ko04140
OG0005645	K08331	ko04211
OG0005645	K08331	ko05010
OG0005645	K08331	ko05014
OG0005645	K08331	ko05016
OG0005645	K08331	ko05017
OG0005645	K08331	ko05022
OG0005647	K14937	ko00981
OG0005651	K03952	ko00190
OG0005651	K03952	ko01100
OG0005651	K03952	ko04714
OG0005651	K03952	ko04723
OG0005651	K03952	ko04932
OG0005651	K03952	ko05010
OG0005651	K03952	ko05012
OG0005651	K03952	ko05014
OG0005651	K03952	ko05016
OG0005651	K03952	ko05020
OG0005651	K03952	ko05022
OG0005651	K03952	ko05208
OG0005651	K03952	ko05415
OG0005654	K07509	ko00062
OG0005654	K07509	ko00071
OG0005654	K07509	ko00280
OG0005654	K07509	ko01100
OG0005654	K07509	ko01110
OG0005654	K07509	ko01212
OG0005660	K07573	ko03018
OG0005661	K01312	ko04080
OG0005661	K01312	ko04972
OG0005661	K01312	ko04974
OG0005661	K01312	ko05164
OG0005664	K14686	ko01524
OG0005664	K14686	ko04978
OG0005665	K12741	ko03040
OG0005665	K12741	ko05014
OG0005666	K07342	ko03060
OG0005666	K07342	ko04141
OG0005666	K07342	ko04145
OG0005666	K07342	ko05110
OG0005669	K11669	ko03082
OG0005671	K13989	ko04141
OG0005673	K09458	ko00061
OG0005673	K09458	ko00780
OG0005673	K09458	ko01100
OG0005673	K09458	ko01212
OG0005673	K09458	ko01240
OG0005676	K02964	ko03010
OG0005676	K02964	ko05171
OG0005678	K04567	ko00970
OG0005684	K10895	ko03460
OG0005693	K03193	ko00532
OG0005697	K04560	ko04130
OG0005697	K04560	ko04721
OG0005697	K04560	ko04911
OG0005697	K04560	ko05016
OG0005697	K04560	ko05022
OG0005697	K04560	ko05031
OG0005697	K08486	ko04130
OG0005697	K08486	ko04721
OG0005698	K07936	ko03008
OG0005698	K07936	ko03013
OG0005698	K07936	ko03250
OG0005698	K07936	ko05166
OG0005699	K02358	ko04626
OG0005703	K05766	ko04360
OG0005703	K05766	ko04810
OG0005704	K14574	ko03008
OG0005705	K00798	ko00860
OG0005705	K00798	ko01100
OG0005705	K00798	ko01240
OG0005705	K00798	ko04980
OG0005706	K04974	ko04928
OG0005706	K04974	ko04961
OG0005708	K25605	ko03082
OG0005710	K10599	ko03040
OG0005710	K10599	ko04120
OG0005711	K13347	ko04146
OG0005713	K13175	ko03013
OG0005715	K10666	ko04141
OG0005718	K16056	ko04020
OG0005718	K16056	ko04024
OG0005718	K16056	ko04611
OG0005718	K16056	ko04924
OG0005718	K16056	ko04925
OG0005718	K16056	ko04927
OG0005718	K16056	ko04934
OG0005718	K16056	ko05340
OG0005723	K03347	ko04110
OG0005723	K03347	ko04111
OG0005723	K03347	ko04114
