gene	KO
Pame_04689.t1	K09373
Pame_04690.t1	K17286
Pame_04692.t1	K03217
Pame_04696.t1	K18586
Pame_04697.t1	K13960
Pame_04699.t2	K06115
Pame_04701.t1	K27896
Pame_04702.t1	K23209
Pame_04706.t1	K10721
Pame_04707.t1	K01758
Pame_04707.t1	K01760
Pame_04708.t1	K06027
Pame_04710.t1	K27309
Pame_04711.t1	K11886
Pame_04716.t1	K17604
Pame_04720.t1	K13293
Pame_04725.t1	K04733
Pame_04726.t1	K20839
Pame_04730.t1	K00699
Pame_04742.t1	K13780
Pame_04743.t1	K21031
Pame_04744.t1	K02151
Pame_04745.t1	K25366
Pame_04747.t2	K19525
Pame_04748.t1	K07050
Pame_04749.t1	K01487
Pame_04750.t1	K25441
Pame_04758.t1	K09299
Pame_04759.t1	K09299
Pame_04760.t1	K15537
Pame_04761.t1	K21767
Pame_04769.t1	K00344
Pame_04770.t1	K10456
Pame_04771.t1	K24886
Pame_04772.t1	K17253
Pame_04773.t1	K25202
Pame_04774.t1	K15283
Pame_04775.t1	K20251
Pame_04776.t1	K03440
Pame_04777.t1	K03440
Pame_04778.t1	K03440
Pame_04779.t1	K18050
Pame_04780.t2	K06068
Pame_04781.t1	K15304
Pame_04783.t1	K01265
Pame_04786.t1	K08337
Pame_04787.t1	K04499
Pame_04788.t1	K10956
Pame_04789.t1	K01053
Pame_04791.t1	K14799
Pame_04792.t1	K14799
Pame_04793.t1	K19671
Pame_04794.t1	K20164
Pame_04796.t1	K21773
Pame_04797.t1	K14295
Pame_04798.t1	K24651
Pame_04800.t1	K06236
Pame_04801.t1	K06236
Pame_04802.t1	K01873
Pame_04803.t1	K04194
Pame_04804.t1	K04194
Pame_04805.t1	K01016
Pame_04806.t1	K04194
Pame_04807.t1	K01063
Pame_04808.t1	K06236
Pame_04809.t1	K01873
Pame_04810.t1	K01873
Pame_04811.t1	K01873
Pame_04813.t1	K06721
Pame_04816.t1	K07427
Pame_04817.t1	K07427
Pame_04818.t1	K07427
Pame_04819.t1	K07427
Pame_04820.t1	K07427
Pame_04821.t1	K07427
Pame_04822.t1	K22203
Pame_04829.t1	K09067
Pame_04848.t1	K24937
Pame_04850.t2	K03363
Pame_04851.t1	K05213
Pame_04852.t1	K05213
Pame_04856.t1	K03241
Pame_04857.t1	K15001
Pame_04858.t1	K15001
Pame_04859.t1	K01135
Pame_04864.t1	K05323
Pame_04866.t2	K17613
Pame_04867.t1	K11865
Pame_04868.t1	K13153
Pame_04869.t2	K20649
Pame_04870.t1	K23338
Pame_04871.t1	K14313
Pame_04872.t1	K13120
Pame_04874.t1	K01053
Pame_04875.t1	K01053
Pame_04876.t1	K11298
Pame_04877.t1	K16831
Pame_04878.t1	K13138
Pame_04879.t1	K13138
Pame_04880.t1	K14322
Pame_04881.t1	K20292
Pame_04883.t1	K09191
Pame_04884.t1	K13130
Pame_04885.t1	K01411
Pame_04892.t1	K15001
Pame_04895.t1	K15001
Pame_04896.t1	K07427
Pame_04897.t1	K15001
Pame_04900.t1	K19489
Pame_04903.t1	K07841
Pame_04904.t1	K22188
Pame_04905.t1	K14073
Pame_04906.t1	K14073
Pame_04907.t1	K09583
Pame_04910.t1	K00873
Pame_04911.t1	K03283
Pame_04919.t1	K01283
Pame_04922.t1	K01283
Pame_04923.t1	K01283
Pame_04925.t4	K01283
Pame_04926.t1	K01283
Pame_04930.t1	K10356
Pame_04931.t1	K10356
Pame_04932.t1	K10356
Pame_04936.t1	K09303
Pame_04937.t1	K09305
Pame_04939.t1	K09311
Pame_04942.t1	K09307
Pame_04944.t1	K09311
Pame_04949.t1	K09307
Pame_04952.t1	K09300
Pame_04955.t3	K12602
Pame_04956.t1	K02542
Pame_04957.t1	K08716
Pame_04963.t1	K12491
Pame_04965.t1	K12491
Pame_04972.t1	K00831
Pame_04973.t2	K00873
Pame_04978.t1	K02154
Pame_04978.t1	K02123
Pame_04980.t1	K00949
Pame_04982.t1	K22984
Pame_04985.t2	K01324
Pame_04986.t1	K22807
Pame_04987.t1	K23883
Pame_04988.t1	K15381
Pame_04991.t1	K09362
Pame_04992.t1	K12741
Pame_04993.t1	K11585
Pame_04995.t1	K12870
Pame_04996.t1	K06085
Pame_04997.t1	K04459
Pame_04999.t1	K05684
Pame_05000.t1	K05683
Pame_05002.t1	K01027
Pame_05003.t1	K17267
Pame_05004.t1	K14538
Pame_05005.t1	K08855
Pame_05006.t1	K07955
Pame_05008.t2	K04600
Pame_05008.t2	K02922
Pame_05009.t1	K20056
Pame_05011.t1	K10250
Pame_05012.t2	K10876
Pame_05014.t1	K26736
Pame_05015.t1	K24624
Pame_05016.t2	K10415
Pame_05017.t2	K01802
Pame_05023.t2	K20349
Pame_05024.t1	K01047
Pame_05028.t1	K05409
Pame_05030.t2	K02085
Pame_05032.t3	K02085
Pame_05033.t1	K00854
Pame_05034.t1	K22063
Pame_05035.t1	K27756
Pame_05037.t1	K07374
Pame_05038.t1	K04677
Pame_05039.t1	K02602
Pame_05040.t2	K13353
Pame_05041.t1	K12825
Pame_05042.t1	K12825
Pame_05043.t1	K24808
Pame_05046.t1	K14073
Pame_05047.t1	K14073
Pame_05048.t1	K01672
Pame_05049.t1	K01672
Pame_05050.t1	K01487
Pame_05051.t1	K07883
Pame_05060.t1	K09487
Pame_05060.t1	K04079
Pame_05062.t1	K13618
Pame_05065.t1	K04599
Pame_05066.t1	K04599
Pame_05069.t1	K03364
Pame_05070.t1	K10334
Pame_05073.t1	K14999
Pame_05074.t1	K14999
Pame_05075.t1	K14999
Pame_05075.t1	K24554
Pame_05076.t1	K11136
Pame_05077.t1	K14999
Pame_05078.t1	K11136
Pame_05079.t1	K10268
Pame_05080.t1	K23222
Pame_05081.t1	K10585
Pame_05083.t1	K04797
Pame_05087.t1	K10631
Pame_05090.t1	K14353
Pame_05093.t1	K12833
Pame_05094.t1	K15410
Pame_05095.t1	K18631
Pame_05098.t1	K16795
Pame_05099.t1	K03098
Pame_05102.t1	K05128
Pame_05103.t1	K05128
Pame_05107.t1	K02155
Pame_05108.t1	K02155
Pame_05109.t1	K23504
Pame_05110.t1	K21877
Pame_05111.t1	K21877
Pame_05112.t1	K03094
Pame_05119.t1	K21013
Pame_05120.t1	K15101
Pame_05121.t1	K27757
Pame_05122.t1	K25808
Pame_05123.t1	K14209
Pame_05124.t1	K22913
Pame_05125.t1	K20032
Pame_05126.t2	K20032
Pame_05127.t1	K10718
Pame_05128.t1	K10718
Pame_05129.t1	K10718
Pame_05130.t1	K10718
Pame_05131.t1	K10718
Pame_05132.t1	K10718
Pame_05133.t1	K10718
Pame_05134.t1	K10718
Pame_05135.t1	K10718
Pame_05136.t1	K10718
Pame_05137.t1	K10718
Pame_05138.t1	K10718
Pame_05146.t1	K16507
Pame_05147.t1	K16507
Pame_05149.t1	K13136
Pame_05150.t1	K20168
Pame_05151.t1	K15001
Pame_05152.t1	K15001
Pame_05153.t1	K15001
Pame_05154.t1	K15001
Pame_05155.t1	K15001
Pame_05156.t1	K07427
Pame_05157.t1	K15001
Pame_05158.t1	K15001
Pame_05159.t1	K15001
Pame_05161.t1	K09254
Pame_05164.t1	K22370
Pame_05165.t1	K11187
Pame_05166.t1	K11584
Pame_05167.t1	K11584
Pame_05168.t1	K10411
Pame_05169.t1	K06874
Pame_05170.t2	K13217
Pame_05171.t1	K05313
Pame_05178.t1	K12874
Pame_05179.t1	K04599
Pame_05180.t1	K04599
Pame_05181.t1	K12874
Pame_05182.t1	K22203
Pame_05184.t1	K09391
Pame_05185.t1	K19400
Pame_05186.t2	K03258
Pame_05187.t1	K12200
Pame_05188.t1	K23340
Pame_05189.t1	K04670
Pame_05190.t1	K02877
Pame_05191.t1	K01922
Pame_05192.t1	K03948
Pame_05193.t1	K20630
Pame_05194.t1	K01487
Pame_05195.t1	K10881
Pame_05196.t1	K24205
Pame_05206.t1	K23542
Pame_05207.t1	K20187
Pame_05208.t1	K12488
Pame_05209.t1	K12488
Pame_05210.t1	K11173
Pame_05212.t1	K11366
Pame_05222.t1	K19774
Pame_05223.t1	K19774
Pame_05231.t1	K13135
Pame_05234.t1	K25006
Pame_05235.t1	K15143
Pame_05236.t2	K13644
Pame_05237.t1	K02888
Pame_05238.t1	K16599
Pame_05239.t1	K16599
Pame_05261.t1	K01312
Pame_05262.t1	K24098
Pame_05264.t1	K15009
Pame_05265.t1	K17452
Pame_05266.t1	K01115
Pame_05267.t1	K09191
Pame_05268.t1	K05679
Pame_05270.t1	K05679
Pame_05273.t5	K22656
Pame_05275.t1	K12337
Pame_05278.t1	K12337
Pame_05279.t2	K24242
Pame_05280.t1	K06685
Pame_05281.t1	K03260
Pame_05282.t1	K13814
Pame_05283.t1	K10521
Pame_05284.t1	K07942
Pame_05285.t1	K14303
Pame_05289.t1	K09442
Pame_05290.t1	K06537
Pame_05291.t4	K10371
Pame_05292.t2	K10371
Pame_05293.t1	K03175
Pame_05294.t1	K04556
Pame_05295.t1	K08220
Pame_05296.t1	K08220
Pame_05297.t1	K08220
Pame_05299.t1	K01892
Pame_05300.t3	K26153
Pame_05301.t1	K26153
Pame_05302.t1	K05022
Pame_05303.t1	K05022
Pame_05305.t1	K08220
Pame_05306.t1	K12589
Pame_05307.t1	K03962
Pame_05308.t1	K03949
Pame_05309.t1	K24067
Pame_05312.t1	K18050
Pame_05313.t1	K22072
Pame_05314.t1	K17562
Pame_05315.t1	K17916
Pame_05316.t1	K06669
Pame_05319.t1	K06669
Pame_05320.t1	K07763
Pame_05323.t1	K16799
Pame_05328.t1	K14613
Pame_05330.t1	K01283
Pame_05331.t1	K01283
Pame_05333.t1	K01283
Pame_05334.t1	K23291
Pame_05338.t2	K09228
Pame_05339.t1	K01044
Pame_05345.t1	K01044
Pame_05346.t1	K05643
Pame_05347.t1	K06258
Pame_05348.t1	K06867
Pame_05349.t2	K06867
Pame_05351.t1	K00507
Pame_05355.t2	K04233
Pame_05356.t1	K00507
Pame_05357.t1	K00507
Pame_05358.t1	K06721
Pame_05360.t1	K00939
Pame_05361.t1	K10298
Pame_05361.t1	K10291
Pame_05361.t1	K27313
Pame_05361.t1	K10312
Pame_05362.t1	K11664
Pame_05363.t1	K07904
Pame_05364.t1	K00784
Pame_05368.t1	K00605
Pame_05375.t1	K25474
Pame_05376.t1	K04372
Pame_05380.t1	K14823
Pame_05381.t1	K10249
Pame_05382.t1	K10250
Pame_05385.t2	K15285
Pame_05386.t1	K23909
Pame_05389.t1	K05643
Pame_05390.t1	K05643
Pame_05392.t1	K05288
Pame_05393.t1	K18469
Pame_05394.t1	K08963
Pame_05394.t1	K00899
Pame_05395.t1	K08889
Pame_05400.t1	K05273
Pame_05402.t1	K10370
Pame_05403.t1	K19897
Pame_05404.t1	K01063
Pame_05405.t1	K02264
Pame_05407.t1	K14427
Pame_05410.t1	K01379
Pame_05411.t1	K01379
Pame_05414.t1	K04860
Pame_05418.t1	K14807
Pame_05419.t1	K13982
Pame_05420.t1	K02132
Pame_05420.t1	K02111
Pame_05421.t1	K02728
Pame_05422.t2	K16530
Pame_05423.t1	K23167
Pame_05423.t1	K00344
Pame_05424.t1	K04681
Pame_05425.t1	K02834
Pame_05426.t1	K04860
Pame_05428.t1	K02212
Pame_05429.t2	K13698
Pame_05430.t1	K04447
Pame_05431.t1	K04447
Pame_05432.t1	K01456
Pame_05435.t1	K08741
Pame_05436.t1	K06535
Pame_05442.t1	K23209
Pame_05444.t1	K08734
Pame_05446.t1	K15148
Pame_05454.t1	K14307
Pame_05455.t1	K14307
Pame_05457.t1	K23541
Pame_05461.t1	K01769
Pame_05462.t2	K01769
Pame_05462.t2	K01768
Pame_05463.t1	K07819
Pame_05464.t1	K21032
Pame_05466.t1	K21032
Pame_05470.t1	K17387
Pame_05471.t1	K14615
Pame_05472.t1	K14615
Pame_05475.t1	K23205
Pame_05476.t1	K02999
Pame_05477.t2	K02999
Pame_05478.t1	K02999
Pame_05479.t1	K17604
Pame_05481.t1	K02999
Pame_05483.t1	K17604
Pame_05485.t1	K23209
Pame_05486.t1	K16481
Pame_05495.t1	K10658
Pame_05496.t2	K02320
Pame_05497.t1	K02320
Pame_05498.t1	K15168
Pame_05499.t1	K14850
Pame_05502.t1	K21032
Pame_05508.t1	K23424
Pame_05513.t1	K23424
Pame_05514.t1	K23424
Pame_05517.t1	K13443
Pame_05523.t1	K16506
Pame_05524.t1	K16506
Pame_05525.t1	K20298
Pame_05527.t1	K13806
Pame_05528.t1	K05313
Pame_05529.t2	K19903
Pame_05530.t1	K17479
Pame_05532.t1	K05236
Pame_05534.t1	K23222
Pame_05535.t1	K14966
Pame_05536.t1	K14966
Pame_05541.t1	K09228
Pame_05544.t1	K15502
Pame_05545.t1	K23222
Pame_05549.t1	K03098
Pame_05551.t1	K09228
Pame_05552.t1	K03098
Pame_05559.t1	K14764
Pame_05561.t1	K14966
Pame_05567.t1	K27318
Pame_05569.t1	K20298
Pame_05574.t1	K03927
Pame_05574.t1	K01044
Pame_05574.t1	K01063
Pame_05575.t1	K27318
Pame_05583.t1	K14832
Pame_05584.t1	K15161
Pame_05585.t1	K23583
Pame_05588.t1	K05862
Pame_05592.t1	K22563
Pame_05593.t1	K16288
Pame_05599.t1	K00649
Pame_05602.t1	K15441
Pame_05603.t1	K04860
Pame_05604.t1	K04860
Pame_05605.t1	K12316
Pame_05606.t1	K08831
Pame_05607.t1	K14544
Pame_05608.t1	K01893
Pame_05609.t2	K13140
Pame_05610.t1	K24992
Pame_05611.t1	K13140
Pame_05612.t1	K24992
Pame_05613.t1	K25805
Pame_05614.t1	K04497
Pame_05615.t1	K04497
Pame_05616.t1	K04497
Pame_05617.t1	K10360
Pame_05619.t1	K20101
Pame_05620.t1	K24727
Pame_05621.t1	K24727
Pame_05622.t1	K24727
Pame_05623.t1	K24727
Pame_05624.t1	K24727
Pame_05625.t1	K24727
Pame_05626.t1	K24727
Pame_05628.t1	K04834
Pame_05629.t1	K04834
Pame_05630.t1	K04834
Pame_05631.t2	K04834
Pame_05633.t1	K28024
Pame_05634.t1	K09048
Pame_05635.t2	K08958
Pame_05636.t2	K16459
Pame_05638.t1	K01379
Pame_05639.t1	K06002
Pame_05640.t1	K06002
Pame_05641.t1	K10862
Pame_05642.t1	K10862
Pame_05647.t1	K09448
Pame_05657.t1	K07187
Pame_05660.t1	K17278
Pame_05661.t2	K04498
Pame_05663.t1	K04498
Pame_05664.t1	K04498
Pame_05666.t1	K04359
Pame_05669.t1	K00665
Pame_05670.t1	K00665
Pame_05672.t1	K13341
Pame_05673.t1	K13805
Pame_05677.t1	K12462
Pame_05678.t1	K00948
Pame_05679.t1	K04640
Pame_05681.t1	K22381
Pame_05683.t2	K23334
Pame_05686.t1	K26076
Pame_05687.t1	K26093
Pame_05688.t1	K16535
Pame_05692.t1	K07198
Pame_05693.t1	K09407
Pame_05695.t1	K15192
Pame_05697.t1	K02157
Pame_05705.t1	K13137
Pame_05706.t1	K19511
Pame_05708.t1	K01593
Pame_05709.t1	K25552
Pame_05710.t1	K04392
Pame_05710.t1	K07860
Pame_05710.t1	K07863
Pame_05710.t1	K07975
Pame_05711.t1	K24739
Pame_05712.t1	K06532
Pame_05713.t1	K23112
Pame_05714.t1	K20298
Pame_05715.t1	K01052
Pame_05717.t1	K23680
Pame_05718.t1	K06240
Pame_05719.t1	K06240
Pame_05720.t2	K06671
Pame_05725.t1	K00699
Pame_05726.t1	K00699
Pame_05727.t1	K01343
Pame_05728.t1	K00699
Pame_05730.t2	K15033
Pame_05731.t1	K06910
Pame_05732.t1	K19684
Pame_05734.t1	K01227
Pame_05739.t2	K18412
Pame_05740.t1	K18412
Pame_05742.t2	K13212
Pame_05743.t1	K13212
Pame_05744.t2	K03267
Pame_05745.t1	K01866
Pame_05746.t1	K17823
Pame_05748.t2	K10624
Pame_05751.t1	K19863
Pame_05754.t1	K10808
Pame_05755.t1	K08829
Pame_05758.t2	K08776
Pame_05759.t1	K08821
Pame_05760.t1	K08821
Pame_05761.t2	K06823
Pame_05763.t1	K06823
Pame_05769.t1	K01052
Pame_05774.t1	K24749
Pame_05775.t1	K24749
Pame_05776.t1	K15262
Pame_05777.t1	K03143
Pame_05784.t1	K01477
Pame_05785.t1	K01477
Pame_05788.t1	K25167
Pame_05788.t1	K01992
Pame_05789.t1	K00699
Pame_05791.t1	K28075
Pame_05792.t1	K14611
Pame_05793.t1	K14611
Pame_05794.t1	K14611
Pame_05795.t1	K12021
Pame_05796.t1	K12021
Pame_05797.t1	K09228
Pame_05798.t1	K15157
Pame_05799.t1	K09191
Pame_05800.t1	K14713
Pame_05801.t1	K17915
Pame_05804.t1	K17915
Pame_05805.t1	K16174
Pame_05806.t1	K17552
Pame_05807.t1	K18695
Pame_05808.t1	K18695
Pame_05809.t1	K22438
Pame_05810.t1	K18169
Pame_05813.t1	K00558
Pame_05814.t1	K21891
Pame_05815.t1	K05719
Pame_05819.t1	K05633
Pame_05820.t1	K16220
Pame_05821.t1	K03939
Pame_05822.t1	K12623
Pame_05823.t1	K13106
Pame_05824.t1	K13704
Pame_05825.t1	K17231
Pame_05828.t1	K04445
Pame_05829.t1	K12181
Pame_05830.t1	K14293
Pame_05831.t1	K08202
Pame_05837.t1	K23205
Pame_05840.t1	K08558
Pame_05841.t1	K07427
Pame_05842.t1	K15001
Pame_05843.t1	K15001
Pame_05846.t2	K05313
Pame_05849.t1	K08399
Pame_05851.t1	K06248
Pame_05852.t1	K01183
Pame_05853.t1	K01183
Pame_05857.t1	K19600
Pame_05860.t1	K00699
Pame_05861.t1	K00699
Pame_05862.t1	K00699
Pame_05863.t1	K00699
Pame_05864.t1	K00699
Pame_05865.t1	K00699
Pame_05866.t2	K05313
Pame_05867.t1	K08376
Pame_05869.t1	K08376
Pame_05870.t1	K22984
Pame_05871.t1	K14388
Pame_05872.t1	K10249
Pame_05873.t1	K10250
Pame_05874.t1	K10250
Pame_05876.t1	K10250
Pame_05877.t1	K10249
Pame_05878.t1	K10250
Pame_05880.t1	K10250
Pame_05882.t1	K10249
Pame_05883.t1	K10249
Pame_05884.t1	K10249
Pame_05886.t2	K10250
Pame_05887.t1	K10250
Pame_05888.t1	K11273
Pame_05889.t1	K11153
Pame_05891.t1	K11153
Pame_05892.t1	K11153
Pame_05894.t1	K04280
Pame_05895.t1	K03454
Pame_05897.t2	K04707
Pame_05898.t1	K00864
Pame_05900.t1	K11430
Pame_05901.t1	K14165
Pame_05902.t1	K13187
Pame_05904.t1	K19529
Pame_05905.t1	K01490
Pame_05906.t1	K01490
Pame_05907.t1	K01724
Pame_05909.t1	K04359
Pame_05910.t1	K04359
Pame_05911.t1	K04359
Pame_05913.t1	K19832
Pame_05914.t1	K13151
Pame_05915.t1	K03004
Pame_05916.t1	K02219
Pame_05918.t2	K20235
Pame_05919.t1	K21751
Pame_05920.t1	K10272
Pame_05921.t1	K26675
Pame_05923.t1	K12186
Pame_05927.t1	K08193
Pame_05928.t1	K13509
Pame_05928.t1	K00655
Pame_05929.t1	K04507
Pame_05930.t1	K09049
Pame_05931.t2	K12260
Pame_05932.t1	K24229
Pame_05939.t1	K13219
Pame_05941.t1	K03015
Pame_05942.t1	K09186
Pame_05943.t1	K20225
Pame_05944.t1	K14816
Pame_05945.t1	K18164
Pame_05946.t1	K20281
Pame_05947.t2	K10950
Pame_05952.t1	K07442
Pame_05953.t1	K07442
Pame_05954.t1	K01802
Pame_05955.t1	K26109
Pame_05956.t1	K03639
Pame_05957.t1	K13144
Pame_05958.t1	K04510
Pame_05960.t1	K09549
Pame_05964.t1	K22369
Pame_05965.t1	K08869
Pame_05966.t1	K15259
Pame_05967.t1	K15259
Pame_05968.t1	K15259
Pame_05972.t1	K21987
Pame_05973.t1	K12741
Pame_05974.t1	K04942
Pame_05976.t1	K04942
Pame_05978.t1	K04942
Pame_05984.t1	K23886
Pame_05985.t1	K09228
Pame_05987.t1	K09236
Pame_05990.t1	K02105
Pame_05991.t1	K09614
Pame_05992.t1	K10583
Pame_05993.t1	K24864
Pame_05996.t1	K22414
Pame_05999.t1	K16449
Pame_06002.t1	K01672
Pame_06004.t1	K16744
Pame_06005.t1	K02950
Pame_06006.t1	K09062
Pame_06014.t1	K00140
Pame_06020.t1	K19041
Pame_06021.t1	K22868
Pame_06022.t1	K08155
Pame_06023.t1	K10895
Pame_06024.t1	K00799
Pame_06029.t1	K04397
Pame_06030.t1	K10532
Pame_06031.t1	K09293
Pame_06032.t1	K09383
Pame_06034.t1	K08853
Pame_06036.t1	K17794
Pame_06037.t1	K09518
Pame_06038.t2	K09669
Pame_06039.t1	K15712
Pame_06047.t1	K24412
Pame_06051.t1	K04491
Pame_06054.t1	K04491
Pame_06055.t3	K04491
Pame_06056.t1	K18055
Pame_06058.t1	K07295
Pame_06059.t1	K07295
Pame_06060.t1	K16729
Pame_06062.t1	K20410
Pame_06063.t1	K03355
Pame_06064.t1	K23868
Pame_06065.t1	K19765
Pame_06066.t1	K06129
Pame_06068.t1	K11446
Pame_06069.t1	K11089
Pame_06070.t1	K09528
Pame_06072.t1	K10751
Pame_06073.t1	K03386
Pame_06074.t3	K15377
Pame_06075.t1	K03679
Pame_06078.t1	K18081
Pame_06079.t1	K00314
Pame_06080.t1	K00314
Pame_06081.t1	K12734
Pame_06083.t1	K09408
Pame_06085.t1	K07201
Pame_06086.t1	K20372
Pame_06088.t2	K01312
Pame_06089.t1	K17341
Pame_06090.t1	K00555
Pame_06091.t1	K03593
Pame_06092.t1	K14409
Pame_06093.t1	K03115
Pame_06094.t1	K14771
Pame_06095.t1	K15173
Pame_06099.t1	K27896
Pame_06102.t1	K00445
Pame_06103.t1	K03209
Pame_06104.t1	K01064
Pame_06110.t1	K18134
Pame_06111.t1	K20790
Pame_06112.t1	K10532
Pame_06113.t1	K10532
Pame_06114.t1	K05313
Pame_06115.t1	K05313
Pame_06124.t1	K14072
Pame_06126.t1	K08076
Pame_06127.t1	K17410
Pame_06128.t1	K11795
Pame_06129.t2	K05729
Pame_06140.t1	K03006
Pame_06142.t1	K03006
Pame_06152.t1	K13117
Pame_06154.t1	K13173
Pame_06155.t1	K17908
Pame_06160.t3	K09660
Pame_06160.t3	K09427
Pame_06162.t2	K19327
Pame_06164.t1	K13023
Pame_06166.t1	K08376
Pame_06167.t3	K11974
Pame_06169.t1	K08729
Pame_06170.t1	K15031
Pame_06172.t1	K18669
Pame_06174.t1	K20367
Pame_06176.t1	K20367
Pame_06177.t1	K17969
Pame_06178.t1	K17198
Pame_06179.t1	K11366
Pame_06181.t1	K23406
Pame_06188.t1	K08043
Pame_06189.t1	K01768
Pame_06190.t1	K19625
Pame_06197.t1	K06571
Pame_06198.t1	K09427
Pame_06199.t1	K08814
Pame_06200.t1	K03942
Pame_06201.t1	K16639
Pame_06202.t1	K13917
Pame_06204.t1	K22145
Pame_06205.t1	K28049
Pame_06205.t1	K28050
Pame_06206.t1	K28050
Pame_06207.t1	K28050
Pame_06208.t1	K28050
Pame_06209.t1	K09228
Pame_06210.t1	K12382
Pame_06211.t1	K15001
Pame_06211.t1	K07427
Pame_06212.t1	K04686
Pame_06213.t1	K07297
Pame_06214.t1	K06689
Pame_06217.t1	K04986
Pame_06218.t1	K09851
Pame_06219.t1	K08076
Pame_06222.t1	K20526
Pame_06223.t1	K20526
Pame_06224.t2	K04426
Pame_06225.t1	K23222
Pame_06226.t1	K23049
Pame_06231.t1	K04428
Pame_06232.t1	K05467
Pame_06233.t3	K04428
Pame_06234.t1	K26219
Pame_06235.t1	K13755
Pame_06236.t1	K23222
Pame_06238.t1	K13755
Pame_06239.t1	K27896
Pame_06240.t1	K00411
Pame_06241.t1	K02098
Pame_06242.t1	K02098
Pame_06243.t1	K02098
Pame_06244.t1	K08833
Pame_06245.t1	K13356
Pame_06246.t1	K13356
Pame_06247.t4	K04961
Pame_06248.t1	K04961
Pame_06249.t1	K00864
Pame_06250.t1	K25803
Pame_06251.t1	K00547
Pame_06252.t1	K02213
Pame_06253.t1	K01802
Pame_06254.t2	K17570
Pame_06255.t1	K21768
Pame_06256.t1	K22763
Pame_06257.t1	K27966
Pame_06258.t1	K11155
Pame_06259.t1	K25546
Pame_06260.t1	K05692
Pame_06260.t1	K10355
Pame_06261.t1	K06816
Pame_06262.t2	K05858
Pame_06264.t1	K00858
Pame_06267.t1	K01103
Pame_06269.t1	K08471
Pame_06270.t1	K04967
Pame_06271.t1	K01117
Pame_06274.t1	K04168
Pame_06276.t1	K04168
Pame_06277.t1	K10519
Pame_06279.t1	K13667
Pame_06280.t1	K00030
Pame_06281.t1	K15623
Pame_06282.t1	K17584
Pame_06283.t1	K01121
Pame_06284.t1	K12303
Pame_06285.t1	K09517
Pame_06286.t1	K09517
Pame_06288.t1	K01796
Pame_06289.t1	K07739
Pame_06290.t1	K15421
Pame_06291.t1	K24725
Pame_06292.t1	K13780
Pame_06293.t1	K13575
Pame_06294.t1	K00111
Pame_06296.t2	K09200
Pame_06297.t1	K09481
Pame_06298.t1	K18040
Pame_06299.t1	K17920
Pame_06300.t1	K00430
Pame_06301.t1	K00430
Pame_06302.t1	K00430
Pame_06303.t1	K00430
Pame_06311.t1	K10268
Pame_06315.t1	K24518
Pame_06316.t1	K17404
Pame_06317.t1	K17404
Pame_06318.t1	K01278
Pame_06320.t1	K11090
Pame_06322.t2	K16488
Pame_06324.t1	K08065
Pame_06326.t1	K05761
Pame_06327.t1	K05761
Pame_06328.t1	K04514
Pame_06329.t1	K10478
Pame_06330.t2	K17335
Pame_06331.t1	K04381
Pame_06334.t1	K14003
Pame_06335.t1	K08471
Pame_06336.t1	K08471
Pame_06337.t1	K23994
Pame_06338.t1	K26200
Pame_06341.t1	K10887
Pame_06342.t2	K05127
Pame_06344.t1	K05127
Pame_06345.t1	K03509
Pame_06346.t1	K02357
Pame_06347.t1	K10408
Pame_06348.t1	K18416
Pame_06350.t1	K04527
Pame_06351.t1	K14001
Pame_06353.t1	K10262
Pame_06354.t1	K12863
Pame_06355.t1	K10261
Pame_06356.t1	K23935
Pame_06357.t2	K09680
Pame_06358.t1	K15053
Pame_06360.t1	K05657
Pame_06361.t1	K04663
Pame_06362.t1	K16302
Pame_06363.t1	K13280
Pame_06364.t1	K06111
Pame_06365.t1	K03265
Pame_06366.t1	K11131
Pame_06367.t1	K17498
Pame_06368.t1	K21249
Pame_06370.t1	K14401
Pame_06371.t1	K07478
Pame_06372.t1	K14611
Pame_06375.t1	K07374
Pame_06376.t1	K19862
Pame_06377.t1	K18264
Pame_06380.t1	K11493
Pame_06381.t1	K03264
Pame_06383.t1	K03130
Pame_06384.t2	K22128
Pame_06385.t1	K22128
Pame_06386.t1	K16682
Pame_06388.t1	K00565
Pame_06390.t1	K03163
Pame_06391.t1	K23368
Pame_06392.t1	K20875
Pame_06393.t1	K13091
Pame_06395.t1	K22128
Pame_06396.t1	K22128
Pame_06398.t1	K16194
Pame_06399.t1	K01251
Pame_06400.t1	K02146
Pame_06401.t1	K10761
Pame_06405.t2	K07295
Pame_06406.t1	K17635
Pame_06407.t2	K21879
Pame_06409.t1	K21879
Pame_06410.t1	K00728
Pame_06411.t1	K02739
Pame_06412.t1	K23362
Pame_06413.t1	K23490
Pame_06414.t1	K19530
Pame_06415.t1	K19530
Pame_06416.t2	K17589
Pame_06417.t1	K21598
Pame_06418.t1	K10878
Pame_06421.t1	K01278
Pame_06423.t1	K28050
Pame_06424.t1	K17404
Pame_06425.t1	K05038
Pame_06430.t1	K14950
Pame_06433.t1	K23490
Pame_06434.t1	K14317
Pame_06435.t1	K17095
Pame_06438.t1	K16621
Pame_06439.t1	K13868
Pame_06441.t1	K13868
Pame_06442.t1	K02214
Pame_06443.t1	K13808
Pame_06444.t1	K25757
Pame_06445.t2	K23881
Pame_06446.t1	K23881
Pame_06448.t1	K00624
