protein	KO
OG0005602	K17341
OG0005603	K14771
OG0005604	K03115
OG0005606	K13151
OG0005607	K21751
OG0005611	K14859
OG0005613	K01052
OG0005614	K17302
OG0005615	K06184
OG0005615	K06158
OG0005616	K02907
OG0005617	K04431
OG0005625	K11592
OG0005626	K25791
OG0005627	K05768
OG0005628	K05768
OG0005629	K11996
OG0005629	K21029
OG0005630	K00965
OG0005631	K02730
OG0005633	K01063
OG0005634	K05940
OG0005635	K22037
OG0005637	K16531
OG0005643	K24526
OG0005644	K24634
OG0005645	K08331
OG0005646	K05609
OG0005647	K14937
OG0005648	K15837
OG0005650	K23496
OG0005651	K03952
OG0005654	K07509
OG0005655	K22647
OG0005656	K10477
OG0005659	K05021
OG0005660	K07573
OG0005661	K01312
OG0005663	K01359
OG0005664	K14686
OG0005665	K12741
OG0005666	K07342
OG0005669	K11669
OG0005670	K17508
OG0005671	K13989
OG0005673	K09458
OG0005674	K11113
OG0005675	K10736
OG0005676	K02964
OG0005677	K14050
OG0005678	K04567
OG0005680	K24628
OG0005683	K24553
OG0005684	K10895
OG0005687	K15074
OG0005688	K16473
OG0005689	K19398
OG0005690	K08051
OG0005692	K19788
OG0005693	K03193
OG0005694	K19751
OG0005695	K17254
OG0005697	K04560
OG0005697	K08486
OG0005698	K07936
OG0005699	K02358
OG0005703	K05766
OG0005704	K14574
OG0005705	K00798
OG0005706	K04974
OG0005708	K25605
OG0005710	K10599
OG0005711	K13347
OG0005712	K13172
OG0005713	K13175
OG0005715	K10666
OG0005718	K16056
OG0005720	K13128
OG0005722	K25788
OG0005723	K03347
OG0005723	K03870
OG0005725	K02365
OG0005727	K01555
OG0005728	K00287
OG0005729	K01580
OG0005731	K27288
OG0005732	K03015
OG0005734	K03671
OG0005735	K18060
OG0005736	K11166
OG0005738	K23792
OG0005740	K14946
OG0005742	K16795
OG0005745	K14857
OG0005746	K08701
OG0005747	K04346
OG0005748	K16518
OG0005749	K13098
OG0005750	K12460
OG0005751	K03439
OG0005753	K25731
OG0005754	K14565
OG0005755	K15137
OG0005756	K14343
OG0005759	K07921
OG0005760	K00327
OG0005761	K10577
OG0005762	K11644
OG0005763	K22936
OG0005764	K15188
OG0005765	K08025
OG0005767	K14716
OG0005767	K07238
OG0005768	K14689
OG0005769	K09497
OG0005770	K22594
OG0005771	K12751
OG0005772	K02156
OG0005774	K08670
OG0005776	K11652
OG0005777	K17597
OG0005778	K04640
OG0005779	K20472
OG0005780	K12486
OG0005781	K11343
OG0005782	K00721
OG0005783	K01469
OG0005784	K24360
OG0005786	K08740
OG0005787	K12856
OG0005788	K15414
OG0005789	K17968
OG0005791	K06072
OG0005792	K01303
OG0005793	K22421
OG0005794	K10749
OG0005797	K23677
OG0005798	K07870
OG0005799	K02957
OG0005801	K11728
OG0005802	K05037
OG0005804	K25219
OG0005805	K01063
OG0005806	K12834
OG0005807	K26544
OG0005808	K15108
OG0005810	K27045
OG0005811	K03955
OG0005811	K02078
OG0005812	K10345
OG0005813	K27894
OG0005814	K00699
OG0005818	K15171
OG0005819	K12165
OG0005820	K18162
OG0005821	K01874
OG0005821	K16578
OG0005822	K09237
OG0005823	K18449
OG0005824	K01077
OG0005825	K04506
OG0005826	K03626
OG0005829	K07819
OG0005830	K14025
OG0005833	K00731
OG0005834	K08886
OG0005835	K09586
OG0005838	K24317
OG0005839	K20347
OG0005840	K06630
OG0005841	K16056
OG0005842	K10276
OG0005844	K12392
OG0005846	K15382
OG0005847	K15382
OG0005848	K24270
OG0005849	K22203
OG0005850	K13147
OG0005851	K26497
OG0005852	K11348
OG0005853	K15306
OG0005854	K11293
OG0005855	K05743
OG0005858	K00161
OG0005859	K08509
OG0005860	K08818
OG0005861	K23506
OG0005862	K15144
OG0005863	K01389
OG0005864	K06484
OG0005865	K03440
OG0005867	K15152
OG0005868	K11422
OG0005869	K00416
OG0005870	K20129
OG0005871	K03434
OG0005872	K03538
OG0005873	K05213
OG0005874	K14306
OG0005875	K05728
OG0005876	K12397
OG0005877	K20915
OG0005878	K02991
OG0005879	K19995
OG0005880	K13099
OG0005881	K05323
OG0005882	K05323
OG0005883	K20009
OG0005884	K06030
OG0005885	K01466
OG0005886	K13871
OG0005892	K07904
OG0005893	K11664
OG0005894	K10585
OG0005896	K04797
OG0005897	K23362
OG0005898	K20031
OG0005900	K23909
OG0005901	K15285
OG0005903	K03018
OG0005904	K14823
OG0005905	K26680
OG0005906	K14793
OG0005907	K04515
OG0005908	K00820
OG0005910	K03102
OG0005911	K24983
OG0005912	K24262
OG0005913	K11251
OG0005914	K00920
OG0005917	K09614
OG0005918	K27888
OG0005919	K16449
OG0005921	K22414
OG0005923	K24864
OG0005924	K10583
OG0005926	K05293
OG0005928	K15193
OG0005929	K14688
OG0005930	K26420
OG0005931	K12848
OG0005933	K26153
OG0005935	K09560
OG0005936	K18172
OG0005937	K06125
OG0005937	K03179
OG0005938	K18486
OG0005940	K18757
OG0005942	K16184
OG0005943	K15030
OG0005944	K01883
OG0005945	K00894
OG0005946	K04734
OG0005947	K09553
OG0005948	K01512
OG0005950	K19937
OG0005951	K09324
OG0005952	K15028
OG0005953	K20029
OG0005954	K25532
OG0005955	K10426
OG0005956	K02955
OG0005957	K19970
OG0005958	K14286
OG0005959	K01679
OG0005960	K04714
OG0005961	K13963
OG0005963	K13963
OG0005964	K13963
OG0005966	K00787
OG0005967	K23858
OG0005969	K23845
OG0005970	K20368
OG0005972	K20295
OG0005975	K12625
OG0005976	K14558
OG0005977	K02155
OG0005978	K09488
OG0005978	K04079
OG0005979	K01204
OG0005979	K07407
OG0005980	K03165
OG0005983	K15149
OG0005985	K02677
OG0005987	K17781
OG0005988	K16546
OG0005989	K12860
OG0005990	K03236
OG0005991	K16474
OG0005992	K00844
OG0005993	K14964
OG0005994	K10370
OG0005995	K08963
OG0005995	K00899
OG0005996	K18469
OG0005997	K08889
OG0005998	K20180
OG0005999	K02128
OG0006000	K19495
OG0006001	K27355
OG0006002	K03105
OG0006003	K13207
OG0006005	K06704
OG0006006	K18170
OG0006007	K12896
OG0006009	K10484
OG0006011	K01835
OG0006012	K24142
OG0006013	K04676
OG0006014	K00666
OG0006015	K19404
OG0006019	K14191
OG0006020	K24931
OG0006021	K00522
OG0006022	K20828
OG0006024	K23739
OG0006025	K10687
OG0006026	K08809
OG0006027	K04439
OG0006028	K23957
OG0006029	K08819
OG0006030	K12180
OG0006031	K19375
OG0006032	K02174
OG0006032	K27896
OG0006033	K14294
OG0006034	K01415
OG0006037	K23498
OG0006038	K09508
OG0006039	K14034
OG0006041	K10268
OG0006042	K18041
OG0006043	K14353
OG0006044	K14354
OG0006046	K01640
OG0006047	K17785
OG0006050	K22402
OG0006052	K10277
OG0006053	K00019
OG0006054	K00019
OG0006055	K14258
OG0006056	K23715
OG0006057	K17598
OG0006058	K19178
OG0006059	K20397
OG0006060	K01893
OG0006061	K14400
OG0006062	K07917
OG0006063	K20724
OG0006064	K02985
OG0006065	K01374
OG0006066	K00453
OG0006067	K04359
OG0006071	K01322
OG0006072	K10105
OG0006073	K00417
OG0006074	K17929
OG0006075	K26500
OG0006081	K14258
OG0006082	K17662
OG0006084	K10871
OG0006085	K25809
OG0006087	K03495
OG0006089	K15164
OG0006090	K23791
OG0006091	K20629
OG0006092	K10640
OG0006093	K01672
OG0006094	K06058
OG0006095	K14085
OG0006096	K13174
OG0006097	K20072
OG0006098	K03595
OG0006099	K25304
OG0006100	K24272
OG0006102	K26608
OG0006103	K15369
OG0006105	K21844
OG0006106	K25639
OG0006107	K06685
OG0006108	K03260
OG0006109	K13814
OG0006110	K10521
OG0006111	K07942
OG0006112	K14303
OG0006113	K10884
OG0006114	K10395
OG0006115	K10747
OG0006116	K09427
OG0006120	K01324
OG0006121	K05731
OG0006122	K12174
OG0006123	K07252
OG0006124	K07930
OG0006124	K16547
OG0006125	K14306
OG0006129	K00573
OG0006131	K12366
OG0006132	K19001
OG0006133	K23552
OG0006134	K13220
OG0006137	K06826
OG0006138	K20164
OG0006139	K10631
OG0006140	K12589
OG0006142	K21773
OG0006143	K14295
OG0006144	K24651
OG0006145	K01115
OG0006146	K17452
OG0006147	K01892
OG0006148	K26153
OG0006149	K15009
OG0006150	K24242
OG0006153	K09442
OG0006154	K05679
OG0006156	K12662
OG0006158	K03962
OG0006159	K03949
OG0006160	K24067
OG0006161	K13644
OG0006162	K02888
OG0006163	K19332
OG0006164	K03372
OG0006167	K16727
OG0006168	K00830
OG0006169	K01540
OG0006170	K04646
OG0006171	K02943
OG0006175	K12571
OG0006177	K04576
OG0006178	K12828
OG0006179	K09567
OG0006190	K11836
OG0006191	K03142
OG0006192	K13863
OG0006194	K10424
OG0006195	K22611
OG0006196	K17973
OG0006197	K26244
OG0006200	K07756
OG0006201	K02901
OG0006204	K08811
OG0006205	K10739
OG0006206	K20408
OG0006207	K07834
OG0006208	K20407
OG0006209	K10740
OG0006210	K20726
OG0006211	K12838
OG0006213	K07196
OG0006215	K23970
OG0006217	K19941
OG0006219	K15685
OG0006220	K14820
OG0006221	K24342
OG0006224	K23343
OG0006234	K07841
OG0006236	K05323
OG0006237	K19489
OG0006238	K24014
OG0006239	K03122
OG0006240	K13963
OG0006241	K15296
OG0006242	K20289
OG0006243	K09537
OG0006245	K03106
OG0006246	K09098
OG0006247	K07232
OG0006248	K15276
OG0006251	K16358
OG0006252	K22747
OG0006254	K23499
OG0006255	K05658
OG0006258	K19919
OG0006259	K01047
OG0006260	K01047
OG0006261	K00382
OG0006263	K05398
OG0006266	K03354
OG0006267	K19269
OG0006268	K04429
OG0006269	K07193
OG0006270	K00791
OG0006271	K05658
OG0006272	K05658
OG0006273	K01763
OG0006273	K04487
OG0006274	K21971
OG0006275	K11826
OG0006277	K10994
OG0006278	K09313
OG0006279	K09646
OG0006280	K17617
OG0006281	K13343
OG0006282	K23553
OG0006283	K11997
OG0006284	K10140
OG0006285	K12831
OG0006286	K07951
OG0006288	K04506
OG0006291	K10162
OG0006292	K07937
OG0006293	K18532
OG0006294	K12337
OG0006295	K26089
OG0006297	K10356
OG0006298	K01183
OG0006299	K23505
OG0006300	K02090
OG0006301	K11997
OG0006303	K19671
OG0006304	K14677
OG0006310	K13997
OG0006311	K18168
OG0006312	K17619
OG0006313	K24687
OG0006314	K13172
OG0006317	K19511
OG0006318	K19511
OG0006319	K06258
OG0006320	K09377
OG0006321	K20526
OG0006323	K22369
OG0006325	K12301
OG0006325	K08193
OG0006326	K10838
OG0006327	K14688
OG0006328	K04396
OG0006329	K04348
OG0006330	K08202
OG0006332	K12494
OG0006333	K23882
OG0006334	K11866
OG0006339	K09228
OG0006340	K20182
OG0006341	K21847
OG0006342	K20299
OG0006343	K25112
OG0006344	K14780
OG0006345	K13141
OG0006346	K08495
OG0006348	K02934
OG0006349	K16896
OG0006350	K22075
OG0006351	K08997
OG0006352	K03252
OG0006355	K14445
OG0006356	K05291
OG0006357	K14445
OG0006358	K00469
OG0006361	K13963
OG0006363	K13963
OG0006364	K00888
OG0006365	K15078
OG0006367	K09562
OG0006368	K07253
OG0006369	K16574
OG0006370	K13886
OG0006371	K02830
OG0006372	K10891
OG0006374	K01431
OG0006375	K14638
OG0006376	K14779
OG0006377	K23625
OG0006378	K14835
OG0006379	K27961
OG0006380	K11648
OG0006381	K04950
OG0006384	K08360
OG0006385	K11374
OG0006386	K18409
OG0006387	K08610
OG0006388	K05126
OG0006390	K21396
OG0006391	K21396
OG0006393	K07817
OG0006394	K07525
OG0006396	K07817
OG0006396	K20351
OG0006397	K18403
OG0006398	K22188
OG0006399	K00213
OG0006400	K00753
OG0006400	K14464
OG0006402	K00922
OG0006403	K01077
OG0006404	K02540
OG0006406	K05694
OG0006409	K27699
OG0006412	K22937
OG0006414	K19755
OG0006416	K10404
OG0006418	K24838
OG0006419	K06888
OG0006420	K01681
OG0006422	K02890
OG0006426	K01950
OG0006427	K23281
OG0006428	K04926
OG0006429	K13806
OG0006430	K15499
OG0006431	K17885
OG0006432	K04266
OG0006433	K00477
OG0006435	K07127
OG0006436	K24053
OG0006437	K03246
OG0006438	K20872
OG0006439	K05702
OG0006442	K12199
OG0006446	K01565
OG0006447	K19514
OG0006448	K08660
OG0006449	K04914
OG0006450	K09008
OG0006451	K02997
OG0006452	K01304
OG0006453	K17818
OG0006454	K14019
OG0006456	K20359
OG0006458	K09373
OG0006462	K24309
OG0006463	K20694
OG0006464	K23728
OG0006466	K02577
OG0006469	K01183
OG0006470	K13116
OG0006473	K01201
OG0006475	K21891
OG0006476	K23804
OG0006477	K08956
OG0006478	K14319
OG0006480	K15127
OG0006483	K05015
OG0006484	K07511
OG0006484	K01692
OG0006488	K08040
OG0006489	K13577
OG0006490	K26157
OG0006492	K10695
OG0006494	K09375
OG0006495	K24796
OG0006496	K10639
OG0006497	K18586
OG0006498	K13960
OG0006501	K24937
OG0006503	K12160
OG0006505	K14209
OG0006507	K12183
OG0006508	K20133
OG0006509	K01597
OG0006510	K06694
OG0006511	K04405
OG0006513	K15118
OG0006514	K24298
OG0006515	K24478
OG0006517	K03935
OG0006517	K00333
OG0006518	K01620
OG0006519	K10352
OG0006520	K10581
OG0006521	K15200
OG0006522	K10314
OG0006524	K11833
OG0006525	K11835
OG0006526	K15076
OG0006527	K24827
OG0006529	K19907
OG0006532	K24047
OG0006533	K24891
OG0006534	K09871
OG0006535	K07858
OG0006536	K17543
OG0006539	K03515
OG0006540	K03061
OG0006541	K01951
OG0006543	K14320
OG0006544	K19531
OG0006546	K20161
OG0006549	K07931
OG0006550	K04257
OG0006551	K14539
OG0006554	K26546
OG0006555	K00799
OG0006556	K02956
OG0006557	K11981
OG0006558	K14206
OG0006559	K16600
OG0006560	K23317
OG0006561	K02987
OG0006562	K23164
OG0006571	K03249
OG0006572	K11344
OG0006573	K23687
OG0006578	K02958
OG0006579	K11982
OG0006580	K10738
OG0006581	K04352
OG0006583	K15187
OG0006586	K04565
OG0006587	K24643
OG0006589	K18932
OG0006590	K00525
OG0006591	K11253
OG0006594	K21894
OG0006595	K21894
OG0006597	K22641
OG0006598	K11852
OG0006601	K22203
OG0006602	K22203
OG0006603	K22203
OG0006605	K03331
OG0006606	K08960
OG0006607	K07934
OG0006608	K06094
OG0006609	K11366
OG0006611	K23387
OG0006612	K20278
OG0006613	K11838
OG0006614	K03107
OG0006615	K13421
OG0006615	K00762
OG0006620	K24797
OG0006622	K09037
OG0006624	K12182
OG0006625	K05330
OG0006626	K05330
OG0006627	K13124
OG0006628	K10841
OG0006629	K08825
OG0006632	K04678
OG0006633	K14459
OG0006634	K23863
OG0006637	K26126
OG0006639	K02134
OG0006640	K08193
OG0006640	K12301
OG0006646	K04556
OG0006648	K20640
OG0006649	K12620
OG0006650	K07944
OG0006655	K03175
OG0006656	K16865
OG0006658	K01899
OG0006658	K01902
OG0006659	K22376
OG0006660	K00357
OG0006661	K09488
OG0006662	K24260
OG0006663	K22825
OG0006664	K24141
OG0006665	K06537
OG0006666	K20193
OG0006667	K17659
OG0006668	K17405
OG0006669	K14794
OG0006670	K22913
OG0006671	K18464
OG0006672	K10992
OG0006673	K00567
OG0006674	K25857
OG0006676	K05350
OG0006677	K02259
OG0006678	K09114
OG0006680	K01934
OG0006681	K18693
OG0006682	K12824
OG0006684	K21554
OG0006685	K17095
OG0006686	K16722
OG0006687	K16719
OG0006691	K10158
OG0006691	K02966
OG0006693	K15075
OG0006696	K05955
OG0006698	K05313
OG0006699	K13171
OG0006701	K03979
OG0006702	K03979
OG0006703	K15617
OG0006704	K04043
OG0006705	K01807
OG0006707	K21626
OG0006708	K01759
OG0006709	K04143
OG0006712	K14568
OG0006713	K06258
OG0006716	K14258
OG0006720	K15210
OG0006723	K11353
OG0006724	K10703
OG0006725	K17409
OG0006726	K08622
OG0006727	K08622
OG0006728	K08622
OG0006730	K07179
OG0006731	K26229
OG0006733	K26229
OG0006736	K05812
OG0006737	K26390
OG0006738	K08803
OG0006740	K10901
OG0006740	K14358
OG0006741	K17233
OG0006743	K10571
OG0006744	K23804
OG0006745	K16582
OG0006748	K05312
OG0006749	K14999
OG0006750	K05312
OG0006751	K05312
OG0006752	K00128
OG0006753	K02874
OG0006759	K15710
OG0006760	K19638
OG0006761	K14709
OG0006762	K18085
OG0006763	K00902
OG0006764	K24146
OG0006765	K04368
OG0006766	K02880
OG0006767	K06258
OG0006768	K11968
OG0006769	K21358
OG0006772	K05869
OG0006773	K03025
OG0006775	K03062
OG0006776	K13129
OG0006778	K13273
OG0006781	K20368
OG0006782	K05858
OG0006783	K25769
OG0006784	K03259
OG0006786	K14970
OG0006787	K08013
OG0006788	K20096
OG0006790	K22744
OG0006791	K07277
OG0006792	K14575
OG0006793	K06172
OG0006794	K19675
OG0006795	K14008
OG0006796	K17548
OG0006797	K15031
OG0006798	K13188
OG0006800	K02216
OG0006801	K19998
OG0006802	K00868
OG0006803	K19737
OG0006805	K26269
OG0006806	K09108
OG0006807	K25079
OG0006809	K25426
OG0006810	K05665
OG0006810	K05673
OG0006811	K11984
OG0006815	K09206
OG0006816	K21958
OG0006817	K01069
OG0006818	K11680
OG0006819	K08186
OG0006820	K08186
OG0006821	K01988
OG0006822	K12778
OG0006824	K11518
OG0006825	K14961
OG0006826	K14589
OG0006827	K06171
OG0006828	K01785
OG0006829	K14156
OG0006830	K18441
OG0006831	K01988
OG0006832	K08815
OG0006833	K15630
OG0006834	K24200
OG0006835	K13885
OG0006836	K04577
OG0006837	K03130
OG0006838	K23354
OG0006839	K04705
OG0006840	K01866
OG0006841	K17989
OG0006842	K22422
OG0006843	K15690
OG0006843	K03352
OG0006844	K22827
OG0006844	K11878
OG0006845	K07206
OG0006846	K20827
OG0006847	K15180
OG0006849	K09411
OG0006850	K01711
OG0006851	K27864
OG0006854	K11087
OG0006855	K14397
OG0006857	K10866
OG0006858	K20302
OG0006859	K10771
OG0006859	K01142
OG0006860	K23740
OG0006861	K00761
OG0006862	K05662
OG0006862	K27277
OG0006863	K24828
OG0006864	K25866
OG0006866	K23440
OG0006867	K16669
OG0006868	K04225
OG0006869	K03020
OG0006870	K00803
OG0006871	K17256
OG0006872	K17868
OG0006875	K04430
OG0006876	K02992
OG0006878	K20474
OG0006879	K21270
OG0006882	K23402
OG0006883	K06944
OG0006884	K27312
OG0006885	K07928
OG0006886	K23335
OG0006887	K21914
OG0006889	K20279
OG0006890	K03968
OG0006891	K00737
OG0006892	K09654
OG0006893	K04803
OG0006894	K18259
OG0006895	K04662
OG0006896	K11971
OG0006897	K22861
OG0006898	K11413
OG0006901	K25824
OG0006902	K17800
OG0006903	K09540
OG0006907	K03217
OG0006908	K11479
OG0006910	K06971
OG0006911	K08869
OG0006912	K21247
OG0006913	K03238
OG0006914	K01116
OG0006916	K10867
OG0006917	K02875
OG0006918	K14404
OG0006923	K04870
OG0006926	K13516
OG0006927	K14708
OG0006929	K01769
OG0006930	K20641
OG0006931	K14289
OG0006932	K20656
OG0006934	K03033
OG0006935	K22366
OG0006936	K05019
OG0006937	K03247
OG0006938	K01876
OG0006940	K01872
OG0006940	K03233
OG0006940	K00799
OG0006941	K24816
OG0006942	K08838
OG0006943	K00995
OG0006944	K14708
OG0006945	K14708
OG0006947	K17607
OG0006950	K27310
OG0006951	K16679
OG0006952	K14302
OG0006953	K02892
OG0006957	K09328
OG0006958	K09328
OG0006959	K21878
OG0006960	K20826
OG0006962	K25450
OG0006963	K07583
OG0006964	K10606
OG0006964	K16605
OG0006965	K10753
OG0006966	K23293
OG0006967	K09201
OG0006968	K14715
OG0006970	K11583
OG0006971	K24779
OG0006972	K14613
OG0006973	K02427
OG0006974	K26499
OG0006976	K16524
OG0006977	K00161
OG0006978	K14258
OG0006980	K14831
OG0006982	K08333
OG0006986	K14258
OG0006987	K08145
OG0006990	K12757
OG0006993	K20211
OG0006994	K00658
OG0006995	K26674
OG0006996	K10397
OG0006997	K03031
OG0006998	K07767
OG0007000	K13203
OG0007005	K08869
OG0007006	K23339
OG0007007	K17804
OG0007008	K04512
OG0007009	K03235
OG0007010	K27396
OG0007013	K07827
OG0007014	K05752
OG0007016	K00297
OG0007018	K20305
OG0007019	K03097
OG0007020	K01969
OG0007021	K00914
OG0007022	K11515
OG0007023	K24013
OG0007024	K01076
OG0007025	K17436
OG0007026	K08287
OG0007027	K10903
OG0007029	K03635
OG0007030	K21232
OG0007030	K03636
OG0007031	K22537
OG0007036	K11373
OG0007037	K02914
OG0007038	K03593
OG0007040	K01756
OG0007045	K10361
OG0007046	K19672
OG0007047	K17922
OG0007048	K00683
OG0007049	K13111
OG0007049	K12819
OG0007050	K25476
OG0007051	K14616
OG0007054	K22556
OG0007055	K23038
OG0007057	K04497
OG0007058	K11125
OG0007059	K12882
OG0007060	K11416
OG0007061	K00288
OG0007062	K11655
OG0007063	K16774
OG0007066	K00604
OG0007068	K12749
OG0007069	K02088
OG0007070	K07944
OG0007072	K00611
OG0007073	K25805
OG0007075	K24483
OG0007077	K18914
OG0007077	K00528
OG0007078	K19719
OG0007079	K19685
OG0007080	K13212
OG0007081	K12304
OG0007082	K24943
OG0007084	K09191
OG0007085	K14713
OG0007086	K09191
OG0007087	K01749
OG0007088	K17770
OG0007089	K11274
OG0007091	K18169
OG0007093	K00558
OG0007096	K17915
OG0007097	K17552
OG0007098	K00864
OG0007099	K04707
OG0007100	K14305
OG0007101	K00624
OG0007102	K02918
OG0007103	K05754
OG0007104	K12021
OG0007105	K15157
OG0007106	K10887
OG0007107	K05127
OG0007108	K03509
OG0007109	K10478
OG0007110	K17335
OG0007111	K14003
OG0007112	K04381
OG0007113	K01278
OG0007114	K21598
OG0007115	K17589
OG0007116	K19530
OG0007117	K22071
OG0007118	K25216
OG0007119	K01495
OG0007121	K08816
OG0007122	K20471
OG0007123	K14563
OG0007124	K03131
OG0007125	K03109
OG0007126	K02357
OG0007127	K05761
OG0007128	K26200
OG0007129	K09228
OG0007130	K05323
OG0007131	K28075
OG0007132	K06691
OG0007133	K17434
OG0007134	K11593
OG0007135	K15115
OG0007136	K07918
OG0007136	K07923
OG0007137	K21396
OG0007138	K10292
OG0007139	K12350
OG0007140	K14815
OG0007141	K06630
OG0007142	K11188
OG0007143	K10720
OG0007144	K07881
OG0007145	K14950
OG0007149	K16531
OG0007151	K21594
OG0007152	K00789
OG0007153	K03377
OG0007155	K14293
OG0007156	K08558
OG0007157	K12181
OG0007158	K17231
OG0007159	K17710
OG0007160	K15029
OG0007161	K08065
OG0007162	K13280
OG0007163	K06111
OG0007165	K04527
OG0007166	K10262
OG0007167	K14001
OG0007169	K12863
OG0007170	K04663
OG0007171	K05657
OG0007173	K09680
OG0007174	K08578
OG0007175	K15161
OG0007176	K10761
OG0007177	K02146
OG0007179	K06287
OG0007180	K23583
OG0007181	K23362
OG0007182	K23490
OG0007184	K08343
OG0007185	K19330
OG0007186	K21771
OG0007187	K13338
OG0007189	K01044
OG0007192	K23794
OG0007194	K20875
OG0007196	K21879
OG0007197	K17635
OG0007198	K07295
OG0007199	K03754
OG0007200	K10745
OG0007201	K21988
OG0007202	K05119
OG0007203	K04703
OG0007204	K13201
OG0007206	K16545
OG0007208	K20685
OG0007209	K12823
OG0007210	K00654
OG0007211	K20721
OG0007212	K00688
OG0007213	K10589
OG0007214	K22806
OG0007216	K15281
OG0007217	K05679
OG0007218	K18400
OG0007219	K17458
OG0007221	K09602
OG0007222	K06832
OG0007223	K07130
OG0007224	K08706
OG0007225	K08706
OG0007227	K08829
OG0007228	K10808
OG0007230	K19863
OG0007232	K08821
OG0007233	K08776
OG0007234	K03671
OG0007236	K10661
OG0007237	K18758
OG0007238	K16343
OG0007239	K27896
OG0007241	K27896
OG0007242	K27896
OG0007243	K02375
OG0007246	K22984
OG0007247	K01273
OG0007248	K13123
OG0007250	K08515
OG0007251	K26496
OG0007252	K17433
OG0007253	K12177
OG0007254	K11352
OG0007255	K03593
OG0007256	K18630
OG0007257	K02258
OG0007258	K00665
OG0007260	K15001
OG0007261	K06794
OG0007262	K19676
OG0007263	K15559
OG0007264	K17412
OG0007265	K05038
OG0007266	K20358
OG0007267	K16219
OG0007268	K08811
OG0007268	K11321
OG0007270	K09574
OG0007271	K17435
OG0007272	K04659
OG0007273	K02219
OG0007275	K07903
OG0007276	K19753
OG0007277	K00876
OG0007278	K05866
OG0007278	K13238
OG0007279	K05706
OG0007280	K15133
OG0007281	K24932
OG0007284	K13134
OG0007285	K16055
OG0007285	K00697
OG0007285	K01087
OG0007286	K14724
OG0007287	K02138
OG0007288	K18757
OG0007289	K23616
OG0007290	K13249
OG0007291	K10688
OG0007292	K15759
OG0007293	K06067
OG0007294	K05961
OG0007294	K00857
OG0007298	K15277
OG0007299	K27966
OG0007300	K26203
OG0007301	K17595
OG0007302	K11155
OG0007303	K09290
OG0007305	K11339
OG0007306	K18182
OG0007307	K23994
OG0007308	K19678
OG0007309	K15421
OG0007310	K09517
OG0007311	K01796
OG0007313	K01121
OG0007314	K17584
OG0007315	K15623
OG0007316	K13667
OG0007317	K03355
OG0007319	K02881
OG0007320	K07441
OG0007322	K12303
OG0007323	K07739
OG0007324	K17920
OG0007325	K13051
OG0007326	K04451
OG0007329	K04428
OG0007330	K05467
OG0007332	K23049
OG0007333	K20526
OG0007334	K09851
OG0007335	K04986
OG0007337	K12382
OG0007338	K15001
OG0007338	K07427
OG0007339	K04686
OG0007341	K06689
OG0007342	K17969
OG0007344	K18669
OG0007346	K17198
OG0007348	K23406
OG0007351	K19625
OG0007354	K28050
OG0007355	K28050
OG0007356	K28050
OG0007357	K28049
OG0007357	K28050
OG0007358	K22145
OG0007359	K06571
OG0007360	K08814
OG0007361	K03942
OG0007362	K16639
OG0007363	K13917
OG0007364	K08729
OG0007366	K08376
OG0007367	K13023
OG0007368	K19327
OG0007370	K13173
OG0007372	K13117
OG0007375	K03006
OG0007380	K20286
OG0007381	K26752
OG0007382	K10872
OG0007383	K10694
OG0007384	K12815
OG0007385	K19352
OG0007386	K07756
OG0007387	K07766
OG0007388	K14404
OG0007389	K16603
OG0007390	K26154
OG0007391	K00272
OG0007391	K00273
OG0007392	K10727
OG0007395	K14545
OG0007396	K21121
OG0007398	K27954
OG0007399	K18966
OG0007399	K01580
OG0007400	K23802
OG0007401	K23663
OG0007404	K10877
OG0007405	K13239
OG0007406	K00653
OG0007408	K16832
OG0007413	K15151
OG0007414	K07071
OG0007416	K09550
OG0007417	K15700
OG0007418	K16740
OG0007419	K09585
OG0007420	K06875
OG0007422	K18405
OG0007423	K13983
OG0007424	K27706
OG0007425	K15108
OG0007427	K24760
OG0007428	K17658
OG0007429	K09221
OG0007430	K04374
OG0007431	K02328
OG0007432	K08880
OG0007433	K03022
OG0007434	K18258
OG0007435	K10898
OG0007436	K17551
OG0007437	K10685
OG0007441	K18442
OG0007442	K19758
OG0007444	K07847
OG0007445	K00025
OG0007446	K12231
OG0007447	K19757
OG0007448	K11979
OG0007449	K00710
OG0007450	K14693
OG0007451	K11578
OG0007452	K21644
OG0007453	K06961
OG0007454	K06676
OG0007455	K02963
OG0007456	K02870
OG0007457	K12896
OG0007458	K12366
OG0007459	K11790
OG0007460	K07560
OG0007461	K04716
OG0007462	K09496
OG0007463	K14566
OG0007465	K01477
OG0007466	K25167
OG0007466	K01992
OG0007467	K07868
OG0007468	K03143
OG0007470	K20392
OG0007470	K20393
OG0007472	K10722
OG0007473	K12301
OG0007473	K08193
OG0007475	K16453
OG0007476	K02959
OG0007477	K14792
OG0007478	K12823
OG0007479	K16606
OG0007481	K08892
OG0007482	K11843
OG0007483	K06234
OG0007484	K09556
OG0007485	K24125
OG0007487	K20128
OG0007488	K15305
OG0007490	K04280
OG0007491	K22399
OG0007493	K24021
OG0007494	K14620
OG0007497	K01187
OG0007498	K01164
OG0007499	K03842
OG0007500	K12845
