module	module_name	中文名	category_C	category_B	
M00543	Biphenyl degradation, biphenyl => 2-oxopent-4-enoate + benzoate	联苯的降解,联苯→2-氧代戊烯二酸+苯甲酸	Aromatics degradation	Xenobiotics biodegradation	
M00923	UDP-L-FucNAm biosynthesis, UDP-GlcNAc => UDP-L-FucNAm	UDP-L-FucNAm的生物合成,UDP-GlcNAc→UDP-L-FucNAm	Other carbohydrate metabolism	Carbohydrate metabolism	
M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	赖氨酸的降解,细菌,L-赖氨酸→谷氨酸→琥珀酸/乙酰辅酶A	Lysine metabolism	Amino acid metabolism	
M00912	NAD biosynthesis, tryptophan => quinolinate => NAD	烟酰胺的生物合成,色氨酸→喹啉酸→烟酰胺	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	精氨酸的生物合成,谷氨酸→乙酰瓜氨酸→精氨酸	Arginine and proline metabolism	Amino acid metabolism	
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	赖氨酸的降解,赖氨酸→萨卡灵→乙酰乙酰辅酶A	Lysine metabolism	Amino acid metabolism	
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	酪氨酸的生物合成,预苯酸→HPP→酪氨酸	Aromatic amino acid metabolism	Amino acid metabolism	
M00082	Fatty acid biosynthesis, initiation	脂肪酸的生物合成,起始阶段	Fatty acid metabolism	Lipid metabolism	
M00175	Nitrogen fixation, nitrogen => ammonia	氮的固定,氮气→氨	Nitrogen metabolism	Energy metabolism	
M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate	喹啉的降解,喹啉→2-氧代戊烯二酸+色氨酸	Aromatics degradation	Xenobiotics biodegradation	
ko00625	Chloroalkane and chloroalkene degradation	氯代烷烃和氯代烯烃的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
ko00930	Caprolactam degradation	己内酰胺的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
M00539	Cumate degradation, p-cumate => 2-oxopent-4-enoate + 2-methylpropanoate	枯酸的降解,对-枯酸→2-氧代戊烯二酸+2-甲基丙酸	Aromatics degradation	Xenobiotics biodegradation	
M00921	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	环辛醇的生物合成,二甲基烯丙基-PP+异戊烯基-PP→环辛醇	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites	
M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	新癌菌素萘酸基团的生物合成,丙二酰辅酶A→2-羟基-5-甲基-1-萘酸→2-羟基-7-甲氧基-5-甲基-1-萘酰-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides	
M00087	beta-Oxidation	β-氧化	Fatty acid metabolism	Lipid metabolism	
M00113	Jasmonic acid biosynthesis	茉莉酸的生物合成	Lipid metabolism	Lipid metabolism	
M00861	beta-Oxidation, peroxisome, VLCFA	β-氧化,过氧化物酶体,VLCFA	Fatty acid metabolism	Lipid metabolism	
M00595	Sulfur oxidation, SOX system, thiosulfate => sulfate	硫氧化,SOX系统,硫代硫酸盐→硫酸盐	Sulfur metabolism	Energy metabolism	
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	L-threo-四氢生物蝶呤的生物合成,GTP→L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	四氢生物蝶呤的生物合成,GTP→BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins	
M00887	Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM	肽聚糖的生物合成,梅尔米菌酸+α-羧酸酰辅酶A+海藻糖→TMM→TDM/mAGP/GMM	Fatty acid metabolism	Lipid metabolism	
M00033	Ectoine biosynthesis, aspartate => ectoine	生物合成,天冬氨酸→生物合成	Serine and threonine metabolism	Amino acid metabolism	
ko00571	Lipoarabinomannan (LAM) biosynthesis	脂阿拉伯甘露聚糖(LAM)的生物合成	Glycan biosynthesis and metabolism	Glycan metabolism	
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	诺卡菌素A的生物合成,L-pHPG+精氨酸+丝氨酸→诺卡菌素A	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites	
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	马龙酸半醛途径,丙酰辅酶A→乙酰辅酶A	Other carbohydrate metabolism	Carbohydrate metabolism	
M00155	Cytochrome c oxidase, prokaryotes	细胞色素c氧化酶,原核生物	ATP synthesis	Energy metabolism	
M00886	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	梅尔米菌酸的生物合成,起始和延伸FASII(KasA和KasB)	Fatty acid metabolism	Lipid metabolism	
M00889	Puromycin biosynthesis, ATP => puromycin	博来霉素的生物合成,ATP→博来霉素	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites	
M00555	Betaine biosynthesis, choline => betaine	甜菜碱的生物合成,胆碱→甜菜碱	Serine and threonine metabolism	Amino acid metabolism	
M00885	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	梅尔米菌酸的生物合成,起始和延伸FASII(KasA)	Fatty acid metabolism	Lipid metabolism	
ko00984	Steroid degradation	类固醇的降解	Xenobiotics biodegradation and metabolism	Xenobiotics biodegradation	
